T,Year,Month,Wages,CPI_rus,Inflation_rus,wage_constant,lwage,June,July,Total,Z,index_seasonarity,lwage_season
35,2011,Nov.,25272,100.42,1.250155225,34043.28937,10.43538821,10.42373421,10.41929512,10.42151466,0.013873546,0.001740844,10.43364737
36,2011,December,32574.4,100.44,1.255655908,43687.94577,10.6848275,10.42715445,10.42373421,10.42544433,0.259383173,0.234548812,10.45027869
37,2012,January,24216,100.5,1.261934188,32316.29363,10.38332683,10.43136286,10.42715445,10.42925865,-0.045931824,-0.047111493,10.43043832
38,2012,February,23848,100.37,1.266603344,31707.87785,10.36432044,10.43231525,10.43136286,10.43183905,-0.067518613,-0.078989434,10.44330988
39,2012,March,24326,100.58,1.273949644,32156.90811,10.37838258,10.43243377,10.43231525,10.43237451,-0.053991934,-0.022817485,10.40120006
40,2012,April,24325.3,100.31,1.277898888,32056.60729,10.3752586,10.44036261,10.43243377,10.43639819,-0.061139593,-0.03846163,10.41372023
41,2012,May,25353,100.52,1.284543962,33238.10292,10.41145218,10.44610757,10.44036261,10.44323509,-0.031782912,-0.018115514,10.42956769
42,2012,June,26967.3,100.89,1.295976403,35042.59153,10.4643195,10.45138624,10.44610757,10.4487469,0.015572597,0.037366446,10.42695306
43,2012,July,26855.5,101.23,1.311916913,34473.2918,10.44794015,10.45922567,10.45138624,10.45530596,-0.007365804,-0.014736391,10.46267654
44,2012,August,25510,100.1,1.31322883,32713.41583,10.39554054,10.4641841,10.45922567,10.46170489,-0.066164344,-0.043869413,10.43940996
45,2012,September,26838,100.55,1.320451588,34228.15651,10.44080387,10.47163818,10.4641841,10.46791114,-0.027107265,-0.005545951,10.44634983
46,2012,October,28685.6,100.46,1.326525666,36416.99655,10.50279088,10.4788449,10.47163818,10.47524154,0.027549344,0.001332564,10.50145832
47,2012,Nov.,28827.4,100.34,1.331035853,36473.00653,10.50432772,10.48536557,10.4788449,10.48210524,0.022222483,0.001740844,10.50258687
48,2012,December,36986.6,100.54,1.338223447,46544.84836,10.74817161,10.49091627,10.48536557,10.48814092,0.26003069,0.234548812,10.5136228
49,2013,January,28486.7,100.97,1.351204214,35503.97629,10.47739998,10.49314509,10.49091627,10.49203068,-0.014630702,-0.047111493,10.52451147
50,2013,February,27151.8,100.56,1.358770958,33651.79342,10.42382163,10.49778955,10.49314509,10.49546732,-0.071645693,-0.078989434,10.50281106
51,2013,March,28469.9,100.34,1.363390779,35165.87542,10.46783144,10.49928043,10.49778955,10.49853499,-0.030703548,-0.022817485,10.49064893
52,2013,April,28441.3,100.51,1.370344072,34952.29216,10.46173933,10.49859278,10.49928043,10.4989366,-0.037197273,-0.03846163,10.50020096
53,2013,May,29440.8,100.66,1.379388343,35943.37877,10.48970017,10.49631856,10.49859278,10.49745567,-0.007755501,-0.018115514,10.50781568
54,2013,June,30808.8,100.42,1.385181774,37456.21234,10.53092786,10.49498251,10.49631856,10.49565054,0.035277323,0.037366446,10.49356141
55,2013,July,29362.7,100.82,1.396540264,35407.75327,10.47468609,10.49407161,10.49498251,10.49452706,-0.019840964,-0.014736391,10.48942248
56,2013,August,28723.4,100.14,1.398495421,34588.41344,10.45127403,10.49511285,10.49407161,10.49459223,-0.043318195,-0.043869413,10.49514345
57,2013,September,28998.1,100.21,1.401432261,34846.02761,10.45869442,10.49655071,10.49511285,10.49583178,-0.037137356,-0.005545951,10.46424038
58,2013,October,30227.7,100.57,1.409420425,36117.72495,10.49453902,10.50064027,10.49655071,10.49859549,-0.00405647,0.001332564,10.49320646
59,2013,Nov.,29869.6,100.56,1.417313179,35491.09715,10.47703716,10.5024009,10.50064027,10.50152058,-0.024483425,0.001740844,10.47529632
60,2013,December,38746.1,100.51,1.424541477,45804.56261,10.73213899,10.50488883,10.5024009,10.50364486,0.228494123,0.234548812,10.49759017
61,2014,January,29881.6,100.59,1.432946271,35118.00086,10.46646912,10.50601443,10.50488883,10.50545163,-0.038982504,-0.047111493,10.51358062
62,2014,February,29197,100.7,1.442976895,34074.90836,10.43631657,10.5042373,10.50601443,10.50512586,-0.068809296,-0.078989434,10.515306
63,2014,March,30968.9,101.02,1.45769526,35777.90299,10.48508575,10.50435624,10.5042373,10.50429677,-0.019211021,-0.022817485,10.50790323
64,2014,April,32062,100.9,1.470814517,36710.35177,10.51081406,10.50362306,10.50435624,10.50398965,0.006824411,-0.03846163,10.54927569
65,2014,May,32351,100.9,1.484051848,36710.85333,10.51082772,10.50154719,10.50362306,10.50258512,0.008242599,-0.018115514,10.52894324
66,2014,June,34219,100.62,1.493252969,38591.33218,10.56078298,10.49653737,10.50154719,10.49904228,0.061740699,0.037366446,10.52341653
67,2014,July,31979,100.49,1.500569909,35889.25885,10.48819333,10.48295982,10.49653737,10.4897486,-0.001555262,-0.014736391,10.50292972
68,2014,August,30242,100.24,1.504171276,33858.60508,10.42994846,10.46888934,10.48295982,10.47592458,-0.045976123,-0.043869413,10.47381787
69,2014,September,31371,100.65,1.51394839,34895.79817,10.4601217,10.46741694,10.46888934,10.46815314,-0.008031433,-0.005545951,10.46566766
70,2014,October,32449,100.82,1.526362766,35801.34955,10.48574087,10.46307722,10.46741694,10.46524708,0.020493788,0.001332564,10.48440831
71,2014,Nov.,31778,101.28,1.54590021,34617.91829,10.4521267,10.45777161,10.46307722,10.46042442,-0.008297723,0.001740844,10.45038585
72,2014,December,40631,102.62,1.586402795,43132.02902,10.67202113,10.44489519,10.45777161,10.4513334,0.220687729,0.234548812,10.43747232
73,2015,January,29190,103.85,1.647479303,29838.018,10.30353863,10.43870975,10.44489519,10.44180247,-0.138263838,-0.047111493,10.35065012
74,2015,February,28781,102.22,1.684053343,28781,10.26747073,10.44016996,10.43870975,10.43943985,-0.171969127,-0.078989434,10.34646016
