"place_id","place_name"
"3486","Avebury, United Kingdom"
"3458","Aveley, United Kingdom"
"1433","Avon, Ma"
"3446","Avon, Ma, United States"
"5467","Axbridge, United Kingdom"
"2281","Axminster, United Kingdom"
"1659","Aylesbury, United Kingdom"
"2195","Ayr, United Kingdom"
"894","Ayrshire, United Kingdom"
"5676","B-3000 Leuven, Belgium"
"769","BC, Canada"
"3328","BISHOPS NYMPTON, United Kingdom"
"5345","BR, Italy"
"4419","Bacchus Marsh, VIC, Australia"
"6306","Bad Sachsa, Germany"
"534","Bad Soden, Germany"
"1148","Badalona, Spain"
"1741","Badalona, United States"
"2275","Baden, Austria"
"777","Baden, Switzerland"
"256","Baden-Baden, Germany"
"6407","Baden-Wuerttemberg, Germany"
"2807","Badger, United States"
"3743","Bakewell, United Kingdom"
"4574","Balaclava, Australia"
"6141","Balaclava, VIC, Australia"
"2232","Baldock, United Kingdom"
"2685","Baldwin Park, CA, United States"
"6051","Baldwins Gate, United Kingdom"
"6487","Balgowlah, Australia"
"1408","Balitmore"
"3123","Ballajura, Australia"
"1519","Ballarat, Australia"
"3028","Ballarat, VIC, Australia"
"3443","Ballina, Ireland"
"4932","Ballingeary, Ireland"
"4130","Ballingslov, Sweden"
"1057","Balloch, United Kingdom"
"926","Ballycastle, United Kingdom"
"5149","Balmain, Australia"
"3912","Balmain, NSW, Australia"
"5588","Baltimore, MD"
"5510","Baltimore, MD, United Kingdom"
"59","Baltimore, MD, United States"
"4553","Baltimore, Maryland, United States"
"3524","Baltimore, Md."
"4657","Baltimore, Md., United States"
"329","Baltimore, United States"
"6443","Baltinglas, Ireland"
"1943","Bamenda, Cameroon"
"838","Bampton, United Kingdom"
"6125","Banbridge, United Kingdom"
"3070","Banbury, United Kingdom"
"5950","Banchory, United Kingdom"
"6006","Bandon, Ireland"
"5002","Banff, Canada"
"4445","Banff, United Kingdom"
"5000","Banffshire, United Kingdom"
"3550","Bangalore, India"
"1606","Bangkok, Thailand"
"5485","Bangkok, United States"
"1785","Bangor, United Kingdom"
"1314","Bangor, United States"
"2314","Banstead, United Kingdom"
"6441","Bantry, Ireland"
"5081","Bar Harbour, United States"
"6133","Barbados"
"4073","Barcelona"
"6555","Barcelona Espaana, Spain"
"6552","Barcelona Espana, United States"
"4315","Barcelona Spain, Spain"
"6576","Barcelona Spain, United States"
"3679","Barcelona, Espaana, Spain"
"1511","Barcelona, Mexico"
"207","Barcelona, Spain"
"783","Barcelona, Spain, Spain"
"5682","Barcelona, Spain, United Kingdom"
"5622","Barcelona, United Kingdom"
"172","Barcelona, United States"
"1094","Barcleona, Spain"
"4321","Bareilly, India"
"4129","Bari, Italy"
"600","Barking, United Kingdom"
"3598","Barling Magna, United Kingdom"
"3577","Barmouth, United Kingdom"
"6249","Barmy Moor, United Kingdom"
"4713","Barnard Castle, United Kingdom"
"3296","Barnet, United Kingdom"
"5070","Barnoldswick, United Kingdom"
"395","Barnsley, United Kingdom"
"3935","Barnstaple, United Kingdom"
"3712","Barrington, United States"
"4397","Barrow-in-Furness, United Kingdom"
"4124","Barrytown, NY, United States"
"1550","Barrytown, United States"
"3276","Barton upon Humber, United Kingdom"
"3495","Barwell, United Kingdom"
"361","Basel, Switzerland"
"703","Basel, Switzerland, Switzerland"
"2055","Basel/Berlin/Boston, Switzerland"
"661","Basingstoke, England, United Kingdom"
"3844","Basingstoke, Hampshire, United Kingdom"
"188","Basingstoke, United Kingdom"
"2140","Bassingbourn, United Kingdom"
"5286","Batesville, IN, United States"
"2913","Bath"
"5335","Bath, UK, United Kingdom"
"73","Bath, United Kingdom"
"3257","Bathesda, MD, United States"
"4269","Bathgate, United States"
"1179","Bathurst, NSW, Australia"
"4436","Batley, United Kingdom"
"1286","Baton Rouge, United States"
"5909","Batterstown, Ireland"
"2026","Battle, United Kingdom"
"2993","Baulkham Hill, NSW, Australia"
"6469","Baulkham Hills, Australia"
"3358","Baulkham Hills, NSW, Australia"
"692","Bayeux, France"
"3091","Bayside, United States"
"6354","Bayswater, Australia"
"807","Bayswater, VIC, Australia"
"1569","Bayville, NY, United States"
"1370","Beaminster, Dorset, United Kingdom"
"5640","Beaumont, TX"
"5635","Beaumont, Tex."
"5639","Beaumont, Tex., United States"
"5731","Beaumont, Texas"
"2771","Beaumont, United States"
"5891","Beaverlodge, Canada"
"677","Beaverton, United States"
"1228","Beaworthy, United Kingdom"
"5053","Bebington, United Kingdom"
"2346","Beckenham, United Kingdom"
"3007","Beckermet, United Kingdom"
"669","Becket, MA, United States"
"3991","Beckham, United Kingdom"
"4793","Bedford, Mass."
"2249","Bedford, United Kingdom"
"4097","Bedford, United States"
"980","Bedfordshire, United Kingdom"
"3539","Beds, United Kingdom"
"6160","Bedworth, United Kingdom"
"3190","Beeston, United Kingdom"
"528","Beijing, China"
"1553","Beiling, China"
"3557","Beirut, Lebanon"
"1523","Bel Air, United States"
"2334","Belconnen, ACT, Australia"
"6388","Belconnen, Australia"
"699","Belfast, United Kingdom"
"5877","Belford, United Kingdom"
"1944","Belgium"
"5331","Belgrade"
"1109","Belgrade, Montana, United Kingdom"
"2888","Belgrave South, VIC, Australia"
"1093","Bellaterra, Spain"
"2739","Bellaterra, United States"
"3676","Bellcaire d'Empordà, Spain"
"4747","Belle River, PE"
"4996","Belleek, United Kingdom"
"4452","Bellerive, TAS, Australia"
"4453","Bellerive, Tasmania, Australia"
"61","Bellevue, United States"
"1946","Bellevue, WA, United States"
"4845","Bellingen, NSW, Australia"
"3922","Bellingham, United Kingdom"
"1932","Bellingham, United States"
"3146","Bellingham, WA, United States"
"80","Bellingham, Wash"
"5519","Bellmawr, NJ, United Kingdom"
"1728","Bellville, South Africa"
"2939","Bellvue, United States"
"1362","Belmont"
"1993","Belmont, Australia"
"602","Belmont, CA, United States"
"1458","Belmont, United States"
"5964","Belper, United Kingdom"
"5705","Belrose, Australia"
"1825","Beltsville, MD, United States"
"3237","Belvedere, United Kingdom"
"3330","Bembridge, United Kingdom"
"2109","Bemenda, Cameroon"
"3075","Ben Lomond, United States"
"4986","Benalla, VIC, Australia"
"6458","Bend, OR"
"4457","Bendigo, Australia"
"4230","Bendley, United Kingdom"
"6198","Benfleet, United Kingdom"
"3674","Benicarló, Spain"
"2324","Benito Juarez, Mexico"
"3699","Bennington, VT, United States"
"4807","Benson, NC, United States"
"3036","Bentleigh East, VIC, Australia"
"830","Bergamo, Italy"
"3819","Bergeijk, Netherlands"
"4943","Bergen, Norway"
"2561","Bergisch Gladbach, Germany"
"5334","Bergsgatan, Sweden"
"4159","Bergstr, Germany"
"3948","Berkamstead, United Kingdom"
"3068","Berkeley"
"1358","Berkeley CA, United States"
"4748","Berkeley Heights, NJ, United States"
"4140","Berkeley Heights, New Jersey"
"2808","Berkeley Heights, United States"
"3054","Berkeley, CA"
"5473","Berkeley, CA, China"
"5315","Berkeley, CA, USA, United States"
"3117","Berkeley, CA, United Kingdom"
"200","Berkeley, CA, United States"
"5534","Berkeley, Calif"
"3103","Berkeley, Calif."
"2078","Berkeley, Calif., United Kingdom"
"3224","Berkeley, Calif., United States"
"5741","Berkeley, California"
"2220","Berkeley, California, United States"
"2724","Berkeley, United Kingdom"
"313","Berkeley, United States"
"253","Berkerley, United States"
"3555","Berkhamstead, United Kingdom"
"2385","Berkhamsted, United Kingdom"
"4506","Berkley, CA, United States"
"132","Berkley, United States"
"1339","Berks, United Kingdom"
"356","Berkshire, United Kingdom"
"4155","Berkswell, United Kingdom"
"952","Berlin"
"2574","Berlin, Austria"
"93","Berlin, Germany"
"2965","Berlin, Germany, Germany"
"5273","Berlin, Heidelberg, Germany"
"6563","Berlin, Md., United States"
"1896","Berlin, NJ, United States"
"6319","Berlin, Ohio, United States"
"1558","Berlin, United Kingdom"
"936","Berlin/Boston"
"1881","Berlin/Boston, Germany"
"3788","Berlin/Boston, United Kingdom"
"247","Bern, Switzerland"
"1740","Berne, IN"
"1658","Berne, IN, United Kingdom"
"1783","Berne, IN, United States"
"2946","Berne, Switzerland"
"1761","Berne, United Kingdom"
"1620","Berne, United States"
"5062","Berowra Heights, Australia"
"2230","Berowra Heights, N.S.W"
"1213","Berry, NSW, Australia"
"5248","Berwick on Tweed, United Kingdom"
"2941","Berwick, United States"
"6134","Berwick-upon-Tweed, United Kingdom"
"5760","Betchworth, United Kingdom"
"1651","Bethersden, United Kingdom"
"1439","Bethesda, MD, United States"
"860","Bethesda, United States"
"5648","Bethlehem, PA, United States"
"6250","Betws y Coed, United Kingdom"
"4474","Beverley, United Kingdom"
"6558","Beverly Hills, CA, United States"
"2403","Beverly Hills, United States"
"2183","Beverly, MA"
"988","Beverly, MA, United States"
"3799","Beverly, Massachusetts"
"540","Beverly, United States"
"2650","Beverston, United Kingdom"
"4846","Bexhil on Sea, United Kingdom"
"1573","Bexhill on Sea, United Kingdom"
"784","Bhopal, India"
"5020","Biarrtz, France"
"841","Białystok, Poland"
"3618","Bicester, Oxon, United Kingdom"
"5420","Bicester, United Kingdom"
"3045","Biddendon, United Kingdom"
"4880","Bideford, Devon, United Kingdom"
"2978","Bideford, United Kingdom"
"1605","Bielefeld, Germany"
"160","Bielsko Biała, Poland"
"2552","Big Sandy, United States"
"4799","Biggar, United Kingdom"
"5930","Biggleswade, United Kingdom"
"384","Bilbao, Spain"
"1560","Bilbao, United States"
"4757","Billingham, United Kingdom"
"5773","Billingshurst, United Kingdom"
"145","Binda, Australia"
"1992","Binghamton, United States"
"921","Bingley, United Kingdom"
"1866","Bingley, United States"
"3721","Binsted, Hampshire"
"923","Binsted, United Kingdom"
"4740","Binyamina, Israel"
"4577","Birchington, Kent, United Kingdom"
"3744","Birchington, United Kingdom"
"780","Birkenhead, New Zealand"
"5073","Birkenhead, United Kingdom"
"4676","Birkirkara, Malta"
"2143","Birmingham, AL, United States"
"136","Birmingham, United Kingdom"
"577","Birmingham, United States"
"3208","Birstall, United Kingdom"
"5596","Birtley, United Kingdom"
"2716","Bishop Auckland, United Kingdom"
"4437","Bishop's Stortford, United Kingdom"
"3630","Bishops Stortford, United Kingdom"
"6142","Bishopstone, United Kingdom"
"1870","Bittern, VIC, Australia"
"4400","Blaby, United Kingdom"
"1272","Black Earth, WI"
"1275","Black Earth, WI, United Kingdom"
"1259","Black Earth, WI, United States"
"1608","Black Point, Nova Scotia, Canada"
"2816","Black Rock, Australia"
"2127","Blackawton, United Kingdom"
"4665","Blackburn, United Kingdom"
"2712","Blackburn, VIC, Australia"
"5763","Blackford, United Kingdom"
"5184","Blackheath, Australia"
"5849","Blackheath, NSW, Australia"
"4426","Blackpool, United Kingdom"
"5724","Blackrock, Co Dublin, Ireland"
"502","Blackrock, Ireland"
"5593","Blacksburg, VA"
"2997","Blagdon, Bristol, United Kingdom"
"5385","Blagdon, United Kingdom"
"2043","Blagrove, United Kingdom"
"1186","Blaine, Canada"
"2264","Blaine, United States"
"34","Blaine, WA, United States"
"3421","Blakehurst, Australia"
"3587","Blaxland, NSW, Australia"
"3774","Bleasby, United Kingdom"
"6297","Blenheim, N.Z., New Zealand"
"6288","Blenheim, New Zealand"
"4937","Bletchingley, United Kingdom"
"1858","Blodgett, United States"
"3993","Bloomingdale, United States"
"4967","Bloomington"
"4634","Bloomington IN, Canada"
"6240","Bloomington IN, United Kingdom"
"112","Bloomington IN, United States"
"2644","Bloomington, IN"
"2767","Bloomington, IN, India"
"4530","Bloomington, IN, United Kingdom"
"353","Bloomington, IN, United States"
"4095","Bloomington, Ind, United States"
"3589","Bloomington, Ind., United States"
"4536","Bloomington, Indiana, United States"
"4857","Bloomington, MN, United States"
"4252","Bloomington, United Kingdom"
"138","Bloomington, United States"
"1359","Blountsville, AL, United States"
"1002","Bloxham, United Kingdom"
"1760","Blue Ash, Ohio, United Kingdom"
"5382","Blue Hill, United States"
"2937","Blue Mountain Heights, QLD, Australia"
"6471","Blue Ridge Summit, Pa., United Kingdom"
"2154","Blue Ridge Summit, United Kingdom"
"2375","Blue Ridge Summit, United States"
"4946","Bluff, New Zealand"
"6165","Blyth, United Kingdom"
"4371","Bo'ness, United Kingdom"
"3681","Boadilla Del Monte, Spain"
"3670","Boadilla del Monte, Madrid, Spain"
"226","Boca Raton, FL, United States"
"1570","Boca Raton, United States"
"4089","Bodega Bay, CA, United States"
"3110","Boerne, Tex."
"1996","Bogart, United States"
"2263","Bognor Regis, United Kingdom"
"2623","Bogota, Colombia"
"537","Bohlitz-Ehrenberg, Germany"
"6228","Boisbriand, Canada"
"3377","Boise"
"4105","Boise, United States"
"6056","Bolinas, CA, United States"
"2284","Bolinas, United States"
"5466","Bolivar, United States"
"599","Bologna, Italy"
"2430","Bolton, United Kingdom"
"5728","Bolton, United States"
"2887","Bolwarrah, Australia"
"3600","Bonbeach, VIC, Australia"
"3530","Bondi Junction, Australia"
"4000","Bondi Junction, NSW, Australia"
"1819","Bonen, Germany"
"1164","Bonnells Bay, Australia"
"3368","Bonsall, United States"
"1154","Boonsboro, United States"
"2135","Boonville, United States"
"1245","Boras, Sweden"
"2401","Bordon, United Kingdom"
"4464","Boreham, United Kingdom"
"1026","Borehamwood, United Kingdom"
"4624","Boronia, VIC, Australia"
"46","Bosa Roca, United States"
"3940","Boscastle, United Kingdom"
"2341","Boscobel, WI, United States"
"3820","Bosques de las Lomas, Mexico"
"2179","Boston"
"4214","Boston, China"
"1732","Boston, MA, Australia"
"6412","Boston, MA, Canada"
"1355","Boston, MA, China"
"6548","Boston, MA, Malaysia"
"5405","Boston, MA, Netherlands"
"4842","Boston, MA, Poland"
"4523","Boston, MA, Singapore"
"1682","Boston, MA, United Kingdom"
"378","Boston, MA, United States"
"5125","Boston, Mass"
"6544","Boston, Mass, United States"
"5856","Boston, Mass., United States"
"199","Boston, Massachusetts, United States"
"4115","Boston, New York, United States"
"2994","Boston, United Kingdom"
"38","Boston, United States"
"6437","Boston,, United Kingdom"
"4580","Boston: Twayne Publishers,, United Kingdom"
"4235","Bostone, United States"
"1378","Botany DC, NSW, Australia"
"6028","Botchell, United States"
"2321","Bothell, United States"
"1750","Bothell, WA"
"1744","Bothell, WA, United States"
"6526","Botley, United Kingdom"
"5854","Bottesford, United Kingdom"
"5674","Boulder CO, United States"
"5556","Boulder, CO, Australia"
"4071","Boulder, CO, United Kingdom"
"337","Boulder, CO, United States"
"5750","Boulder, Colo, United States"
"1551","Boulder, Colorado, United States"
"150","Boulder, United States"
"5976","Boulogne-Billancourt, France"
"5911","Bounemouth, United Kingdom"
"4290","Bountiful, United States"
"3288","Bourne, United Kingdom"
"1556","Bournemouth, United Kingdom"
"4914","Bovingdon, United Kingdom"
"3064","Bowdon, United Kingdom"
"1372","Bowen Hills, QLD, Australia"
"5756","Bowie, Maryland, United States"
"1657","Bowling Green, United States"
"6012","Bowness-on-Windermere, United Kingdom"
"1648","Bowral, Australia"
"6152","Box Hill North, Australia"
"3071","Box Hill, Australia"
"1071","Box Hill, VIC, Australia"
"4336","Boynton Beach, FL, United States"
"3100","Boys Town, United States"
"3166","Bozeman, United States"
"4511","Bra, Cuneo, Italy"
"3098","Braamfontein, South Africa"
"363","Brackley, United Kingdom"
"556","Bracknell, United Kingdom"
"1005","Bradenham, United Kingdom"
"5594","Bradenton, FL"
"2165","Bradenton, United States"
"1755","Bradford (), United Kingdom"
"2579","Bradford on Avon, United Kingdom"
"3353","Bradford, United Kingdom"
"314","Bradford-on-Avon, United Kingdom"
"2125","Bradford-upon-Avon, United Kingdom"
"2549","Bradley Beach, United States"
"2226","Braidwood, NSW, Australia"
"3201","Braintree, United Kingdom"
"6035","Bramfield, United Kingdom"
"2714","Bramford, CT, United States"
"5940","Bramham, United Kingdom"
"2797","Bramley, United Kingdom"
"2601","Brampton Bryan, United Kingdom"
"1862","Bramston Beach, QLD, Australia"
"6499","Brandon, MS"
"6513","Brandon, United States"
"3711","Brandywine, United States"
"5371","Branford, CT, United States"
"4711","Brantingham, United Kingdom"
"2664","Bratislava, Slovakia"
"5546","Brattleboro, United States"
"3970","Braunschweig, Germany"
"5597","Braunston, United Kingdom"
"3754","Braunton, United Kingdom"
"1644","Bray, Ireland"
"1584","Bream, United Kingdom"
"3509","Breaston, United Kingdom"
"5220","Brecon, United Kingdom"
"1986","Breda, Netherlands"
"5318","Bremen, Germany"
"6322","Brentford, United Kingdom"
"4081","Brentwood, Tenn"
"3247","Brentwood, Tenn."
"3614","Brentwood, Tenn., United States"
"430","Brentwood, United Kingdom"
"2408","Brentwood, United States"
"3981","Brewster, Massachusetts, United States"
"4179","Briar Hill, Australia"
"1530","Briarcliff Manor, United States"
"1169","Briarcliff, NY, United States"
"6146","Bridge of Don, United Kingdom"
"6520","Bridge of Weir, United Kingdom"
"451","Bridgehampton, United States"
"507","Bridgend, United Kingdom"
"4395","Bridgenorth, United Kingdom"
"5071","Bridgewater, United Kingdom"
"4363","Bridgewater, United States"
"4783","Bridgnorth, United Kingdom"
"3713","Bridgton, United States"
"1308","Bridgwater, United Kingdom"
"4501","Bridlington, United Kingdom"
"5023","Bridport, Dorset, United Kingdom"
"1609","Bridport, United Kingdom"
"2498","Bridwater, Somerset, United Kingdom"
"2765","Brienne le Chateau, France"
"1403","Brighouse, United Kingdom"
"3359","Brighton, Australia"
"227","Brighton, United Kingdom"
"2829","Brighton, United States"
"3181","Brighton, VIC, Australia"
"3314","Brighton-Le-Sands, NSW, Australia"
"2996","Brignorth, United Kingdom"
"5926","Brill, United Kingdom"
"203","Brisbane, Australia"
"4355","Brisbane, Australia, Australia"
"3685","Brisbane, CA, United States"
"3099","Brisbane, QLD, Australia"
"192","Bristol, United Kingdom"
"3730","Bristol, United States"
"1036","British Columbia, Canada"
"5846","British Columbia, Canada, United States"
"4697","Brixham, United Kingdom"
"4642","Broad Hinton, United Kingdom"
"6100","Broadstairs, United Kingdom"
"1801","Broadway, Australia"
"3318","Broadway, NSW, Australia"
"4247","Brockenhurst, United Kingdom"
"6444","Brockman Ann Arbor, United States"
"4285","Brockport, United States"
"4486","Broken Arrow, United States"
"2702","Broken Hill, Australia"
"2216","Bromley, United Kingdom"
"1617","Bromma, Sweden"
"1229","Brompton, SA, Australia"
"2698","Bromsgrove, United Kingdom"
"5162","Bromyard, United Kingdom"
"6383","Bronte, Australia"
"1231","Brookfield, IL, United States"
"4174","Brookfield, United States"
"5074","Brooklin, ME, United Kingdom"
"1284","Brooklin, United States"
"4332","Brookline, MA, United States"
"1095","Brookline, United States"
"4512","Brooklyn"
"2967","Brooklyn Park, Australia"
"2180","Brooklyn, N.Y, United States"
"3841","Brooklyn, NY"
"1671","Brooklyn, NY, United States"
"2233","Brooklyn, United Kingdom"
"778","Brooklyn, United States"
"3289","Brookvale, Australia"
"6344","Brookvale, NSW, Australia"
