"","category_id","category_name"
"290",363,"Religious & Spiritual Fiction"
"291",3120,"Religious Books"
"292",700,"Religious Groups: Social & Cultural Aspects"
"293",3225,"Religious Life & Practice"
"294",406,"Research Methods: General"
"295",3009,"Rocks, Minerals & Fossils"
"296",3139,"Roman Catholicism, Roman Catholic Church"
"297",358,"Romance"
"298",2630,"Romance Books"
"299",2498,"Romance Books for Teenagers"
"300",361,"Sagas"
"301",3071,"Sailing"
"302",2495,"Sci Fi Books for Kids"
"303",2534,"Science"
"304",1520,"Science: General Issues"
"305",2577,"Sciences"
"306",811,"Secondary Schools"
"307",3356,"Secondary Schools"
"308",288,"Shakespeare Plays"
"309",2856,"Shamanism, Paganism & Druidry"
"310",2975,"Ships & Shipping"
"311",719,"Social & Cultural Anthropology"
"312",2663,"Social & Cultural History"
"313",2741,"Social & Political Philosophy"
"314",709,"Social Research & Statistics"
"315",728,"Social Work"
"316",763,"Social, Group Or Collective Psychology"
"317",633,"Society & Culture: General"
"318",2596,"Society & Social Issues"
"319",707,"Sociology"
"320",2007,"Software Engineering"
"321",2847,"Spirit Guides, Angels & Channelling"
"322",3223,"Spirituality & Religious Experience"
"323",3013,"Sports Books"
"324",3385,"Stationery"
"325",807,"Students & Student Organisations"
"326",3352,"Students & Student Organisations"
"327",839,"Study & Learning Skills: General"
"328",3384,"Study & Learning Skills: General"
"329",1703,"Sustainability"
"330",818,"Teacher Training"
"331",3363,"Teacher Training"
"332",834,"Teaching Of A Specific Subject"
"333",3379,"Teaching Of A Specific Subject"
"334",823,"Teaching Of Specific Groups & Persons With Special Educational Needs"
"335",3368,"Teaching Of Specific Groups & Persons With Special Educational Needs"
"336",783,"Teaching Resources & Education"
"337",3328,"Teaching Resources & Education"
"338",833,"Teaching Skills & Techniques"
"339",3378,"Teaching Skills & Techniques"
"340",802,"Teaching Staff"
"341",3347,"Teaching Staff"
"342",3017,"Teams & Clubs"
"343",1709,"Technology: General Issues"
"344",125,"Theatre Studies"
"345",3217,"Theology"
"346",339,"Thriller Books"
"347",2620,"Thrillers"
"348",3185,"Tibetan Buddhism"
"349",3099,"Tips & Advice"
"350",3049,"Track & Field Sports, Athletics"
"351",2497,"Traditional"
"352",3019,"Training & Coaching"
"353",2974,"Trains & Railways"
"354",3098,"Travel & Holiday Guides"
"355",3112,"Travel Writing"
"356",3008,"Trees, Wildflowers & Plants"
"357",2849,"UFOs & Extraterrestrial Beings"
"358",2848,"Unexplained Phenomena / The Paranormal"
"359",1458,"Veterinary Medicine"
"360",3092,"Walking, Hiking, Trekking"
"361",894,"Warfare & Defence"
"362",2728,"Western Philosophy, From C 1900 -"
"363",2526,"Wildlife"
"364",2988,"Wildlife: Birds & Birdwatching"
"365",2987,"Wildlife: General Interest"
"366",2989,"Wildlife: Mammals"
"367",2857,"Witchcraft & Wicca"
"368",386,"World Atlases / World Maps"
"369",3388,"World Atlases / World Maps"
"370",2689,"World War 2 Books"
"371",1628,"Zoology & Animal Sciences"
