"","words","words.1","words.2","words.3"
"70","шорох","пятилетка","пластический","отставание"
"71","щётка","чайка","пленительный","отстранять/отстранить (+a)"
"72","экономить/с- (+a)","кислота","плотность (f)","охлаждать/охладить (+a)"
"73","этикетка","консул","побаиваться (i) (+g)","пакость (f)"
"74","юрист","австрйец","грузиться/по-","пальчик"
"75","явственно","австрийский","погрузка","паршивый"
"76","ягода","окорок","подавлять (i) (+a)","перегонять/перегнать (+a)"
"77","аналогия","майор","подпирать/подпереть (+a)","передвигать/передвинуть (+a)"
"78","аромат","всесоюзный","подставлять/подставить (+a под +a)","переделывать/переделать (+a)"
"79","балтийский","углерод","подталкивать/подтолкнуть (+a)","передник"
"80","бас","управляющий (+inst)","подтянутый","переезд"
"81","безгранично","колониальный","жертвовать/по- (+a)","переигрывать/переиграть (+a)"
"82","бездомный","красноармёец","покрывало","переливаться/перелиться"
"83","безмерно","шарф","половица","перелом"
"84","бессонница","волосок","получка","перенос"
"85","библейский","специализированный","полый","переносный"
"86","благословение","эксперт","махать/по- (+inst)","переписывать/переписать (+a)"
"87","вежливость (f)","араб","медлить/по-","переправа"
"88","богатырский","беженец","мерещиться/по-","переселяться/переселиться"
"89","божественный","вахта","помёт","переставлять/переставить (+a)"
"90","братишка","трест","пометка","переть (i)"
"91","бревенчатый","хоккеист","поприще","перехватывать/перехватить (+a)"
"92","вена","всадник","попутно","перец"
"93","бюрократ","вычислительный","попутный","персона"
"94","варенье","гипс","радовать/по- (+a)","писательский"
"95","вглубь","общаться (i) (с +inst)","радоваться/по- (+d)","плавный"
"96","вдалеке","заготовка","поражённый","планомерный"
"97","вдоволь","монархия","порывисто","плачущий"
"98","вдохновлять/вдохновить (+a)","нравственность (f)","постигать/постичь (+a)","племенной"
"99","ведьма","длительность (f)","потемневший","плоть (f)"
"100","великолепие","мишень (f)","толковать/по- (о +pr с +inst)","пляска"
"101","веник","зарплата (заработная плата)","потомственный","поблизости"
"102","венок","трасса","потрясённый","поборник (+g)"
"103","верхом","казачий","похороны (pl)","побуждение"
"104","вечность (f)","кухарка","по-человечески","повадка"
"105","взывать/воззвать (к +d)","облигация","почём","повозка"
"106","вишня","вальс","почтальон","подача"
"107","включаться/включиться","кормовой","почтение","подбрасывать/подбросить (+a)"
"108","влетать/влететь","астроном","предок","подвигать/подвинуть (+a)"
"109","влиятельный","воззрение","предсказание","пользование (+inst)"
"110","водиться (i)","кодекс","премьера","поначалу"
"111","возобновлять/возобновить (+a)","эфир","препятствовать (i) (+d)","подножие/подножье"
"112","воинственный","зола","приглядываться/приглядеться (к +d)","подоконник"
"113","вопль (m)","китель (m)","пригород","подслушивать/подслушать (+a)"
"114","воротничок","концентрация","приёмный","подъёмный"
"115","воспроизводить/воспроизвести (+a)","обождать (р) (+a)","приземистый","жевать/по- (+a)"
"116","восхищаться/восхититься (+inst)","превосходительство","прикрываться/прикрыться (+inst)","жечь/по- (+a)"
"117","вспылить (р)","буржуй","применительно (к +d)","позорно"
"118","всхлипывать/всхлипнуть","идейный","примыкать (i) (к +d)","полосатый"
"119","всяческий","электронный","приподнятый","полыхать (i)"
"120","втягивать/втянуть (+a)","буксир","прихватывать/прихватить (+a)","помалкивать (i)"
"121","выжимать/выжать (+a)","лакей","причинять/причинить (+a)","помещичий"
"122","высаживать/высадить (+a)","пропуск","будить/про- (+a)","помост"
"123","высыпаться/выспаться","осадок","пробыть (р)","понижать/понизить (+a)"
"124","выяснение","растительный","проголодаться (р)","обещать/по- (+a +d)"
"125","вязать/с- (+a)","ячейка","продвигаться/продвинуться","пополнение"
"126","гармония","артиллерист","продовольственный","попутчик"
"127","героизм","сосуществование","продуктивность (f)","поровну"
"128","гибкий","озимый","проезд","порожний"
"129","гимн","поручик","прозвище","ругаться/по-"
"130","гипотеза","горничная","преступность (f)","послезавтра"
"131","глотать (i) (+a)","терраса","прокат","постный"
"132","голенище","вселённая","проклятие","постукивать (i)"
"133","голодать (i)","люк","пролезать/пролезть (в +a)","потомство"
"134","голосование","скептик","променивать/променять (+a на +a)","потреблять/потребить (+a)"
"135","графин","светящийся","промысел","пребывать (i)"
"136","громоздкий","хрусталь (m)","пронзительный","превосходно"
"137","гуманитарный","плуг","полноценный","предписание"
"138","гуща","частушка","просвет","предприниматель (m)"
"139","даром","ширма","простительно","преобладать (i)"
"140","денёк","союзный","противопоставлять/противопоставить (+a +d)","преступный"
"141","детальный","спекулянт","протяжно","приветливый"
"142","дефицит","тренер","публикация","пригородный"
"143","джинсы (pl)","брусок","пуск","придвигаться/придвинуться (к +d)"
"144","добросовестно","гранит","пятёрка","придерживать/придержать (+a)"
"145","документация","кролик","развитой","приёмная"
"146","достаток","монументальный","разговориться (p)","признанный"
"147","драматический","водород","разевать/разинуть (+a)","примечательно"
"148","дружить (i) (с +inst)","очко","разогревать/разогреть (+a)","примирение"
"149","дурачок","рудник","разрастаться/разрастись","припадок"
"150","душный","футбол","разрезать (i/p) (+a)","припасы (m pl)"
"151","дымиться (i)","хутор","разузнавать/разузнать (+a)","присягать/присягнуть (в +pr +d)"
"152","дырка","потребление","разъезд","пробел"
"153","желающий","республиканский","разъяснение","пробивать/пробить (+a)"
"154","желтоватый","кратер","распрощаться (p) (с +inst)","провокатор"
"155","законченный","атмосферный","расстроенный","греметь/про-"
"156","запечатлевать/запечатлеть (+a)","световой","расхаживать (i)","прогуливаться/прогуляться"
"157","затрагивать/затронуть (+a)","станица","рвануть (р) (+a)","демонстрировать/про- (+a)"
"158","шагать/за-","руда","реконструировать (i/p) (+a)","прозывать/прозвать (+a +inst)"
"159","зёрнышко","бабка","рельеф","промах"
"160","значимость (f)","канадец","репрессия","промежуточный"
"161","изгонять/изгнать (+a)","кукуруза","родительский","пронзительно"
"162","излюбленный","лирический","родник","пропагандировать (i) (+a)"
"163","измеряться/измериться","нары (pl)","романтика","пропорциональный"
"164","расходовать/израсходовать (+a)","научно-технический","реагировать/от- (на +a)","просыпать/проспать"
"165","иллюминатор","серный","рубиновый","простираться/простереться"
"166","иллюстрировать (i/p) (+a)","фланг","рубрика","просторно"
"167","именовать/на- (+a)","шестёрка","рукопожатие","простужаться/простудиться"
"168","инвентарь (m)","шеф","рыболовный","протирать/протереть (+a)"
"169","интеллектуальный","брус","садовод","протягиваться/протянуться"
"170","ископаемые","египетский","самка","прохвост"
"171","исполненный (+g)","излучать/излучить (+a)","самогон","прохождение"
"172","исправление","коммунистический","самоубийство","процветать (i)"
"173","истерика","контрреволюция","сахарный","прояснение"
"174","исчерпывающий","котлован","свёкла","прутик"
"175","итальянец","линза","свергать/свергнуть (+a)","пчела"
"176","канат","обоз","светать (i)","пшено"
"177","капиталовложение","аж","светский","пьянка"
"178","катить/по- (+a)","буфетчик","свойственно (+d)","пята"
"179","киевский","кубометр","сгорание","разбегаться/разбежаться"
"180","кипяток","курган","сгоряча","разведывательный"
"181","классный","металлургический","сдвинутый","развешивать/развесить (+a)"
"182","клиника","обсерватория","сдерживаться/сдержаться","раздробленный"
"183","коза","отчётный","свитер","разливаться/разлиться"
"184","козырь (m)","платёжный","сектор","различаться (i) (+inst)"
"185","коленка","платёж","серьёзность (f)","размещение"
"186","колючий","покуда","сибиряк","разнородный"
"187","комар","сочный","сито","разгонять/разогнать (+a)"
"188","комбинезон","суша","сквозной","разорять/разорить (+a)"
"189","комод","агитатор","склянка","разочарованный"
"190","конвейер","альпийский","сковородка","разыгрываться/разыграться"
"191","конфисковать (i/p) (+a)","батя (m)","скопляться/скопиться","расизм"
"192","концертный","большевистский","скороговорка","раскусывать/раскусить (+a)"
"193","концлагерь (m)","стабильность (f)","славиться (i) (+inst)","распоряжаться/распорядиться"
"194","кончина","гимназист","славянский","расстилаться/разостлаться"
"195","кооперативный","изумруд","сложение","расстройство"
"196","копать/копнуть (+a)","проектирование","смывать/смыть (+a)","рассыпать (i/p) (+a)"
"197","косо","урожайность (f)","сниматься/сняться","растительность (f)"
"198","косточка","физкультура","собачка","реалистический"
"199","котёнок","устный","соблюдаться (i)","ребячий"
"200","красить/о-","выемка","соприкасаться (i) (с +inst)","ревнивый"
"201","красноватый","гармошка","сорняк","ремесленник"
"202","крах","горком","социал-демократ","решето"
"203","крошка","заряженный","сочетать (i/p) (+a с +inst)","рогожа"
"204","кряхтеть (i)","караван","спад","рожок"
"205","кузов","крона","спекуляция","романс"
"206","культ","механика","спешно","рыночный"
"207","лайнер","накидка","спешный","салют"
"208","лёгкое","отставлять/отставить (+a)","старательно","самокритика"
"209","лениво","павильон","стая","самосознание"
"210","лечиться (i) (от +g)","патруль (m)","стержень (m)","сберегать/сберечь (+a)"
"211","линейка","портовый","стирка","свешивать/свесить (+a)"
"212","лондонский","проситься/по- (+inf or в/на +a)","стратегия","сенсация"
"213","лоскут","скульптор","стропило","сентябрьский"
"214","любезно","упираться/упереться (в +a)","суеверный","сервиз"
"215","макушка","уполномоченный","сухопутный","серийный"
"216","маневрировать/с-","шайба","сущий","сидение"
"217","машинально","штатский","сюртук","синяк"
"218","машиностроительный","штык","табличка","скалистый"
"219","мелко","альбом","тактический","скандальный"
"220","мельком","Богородица","танковый","скорбь (f)"
"221","метить (i)","валовой","тара","скромно"
"222","мещанка","гол","татарский","скромность (f)"
"223","многообразный","грузчик","творчески","слать/по- (+a)"
"224","молва","двусторонний","телёнок","словцо"
"225","монумент","девальвация","толком","слуга (m)"
"226","морщинка","десятина","теоретически","смешить (i) (+a)"
"227","мраморный","козырёк","терзать (i) (+a)","смешок"
"228","мужицкий","субъективный","теснота","смутно"
"229","наваливать/навалить (+a)","вожжа","техникум","снаряжать/снарядить (+a)"
"230","навечно","гамма","тигр","снисходительно"
"231","навоз","карниз","томительный","снисходительный"
"232","наглухо","древесина","тонко","совершенствоваться/у- (в +pr)"
"233","нагревать/нагреть (+a)","опрос","торт","содержательный"
"234","надвигаться/надвинуться","католический","трамплин","солдатик"
"235","надобно","комета","тревожиться/вс-","солидно"
"236","нанимать/нанять (+a)","литератор","треугольник","сооружать/соорудить (+a)"
"237","поить/на- (+a)","перевозка","тринадцать","соотечественник"
"238","напоследок","подвижный","тщательный","сопоставлять/сопоставить (+a)"
"239","наравне (с +inst)","проектный","убираться/убраться","сопутствовать (i) (+d)"
"240","наскоро","раковина","уговор","сорока"
"241","настежь","семечко","указание","соседский"
"242","научно","сера","удаление","сосредоточенно"
"243","недоверчиво","сметана","удирать/удрать","составление"
"244","незабываемый","суждено (+d +inf)","указываться/указаться","сосулька"
"245","немыслимый","ввод","уклончиво","спешка"
"246","ненормальный","внешнеполитический","укор","спрыгивать/спрыгнуть (с +g)"
"247","непобедимый","вредитель (m)","укутывать/укутать (+a)","срезать (i/p) (+a)"
"248","неполный","дотация","улучшаться/улучшиться","стаканчик"
"249","непреклонный","жилетка","умелый","стачка"
"250","непреодолимый","заболевание","умножать/умножить (+a)","стекольщик"
"251","неслышно","закалка","уныние","стенной"
"252","неутомимый","залежь (f)","упорство","стойко"
"253","нырять/нырнуть","зерновой","управляться/управиться (с +inst)","странствовать (i)"
"254","обдумывать/обдумать (+a)","изготовляться/изготовиться","урегулирование","стрелковый"
"255","оберегать/оберечь (+a от +g)","инспекция","усатый","стружка"
"256","обиход","коллективизация","условливаться/условиться (c +inst о +pr/inf)","струиться (i)"
"257","облачный","конструкторский","условно","стычка"
"258","обливать/облить (+a +inst)","кооперация","услыхать (р) (+a)","судорожно"
"259","обложка","лесничий","усматривать/усмотреть (+a в +pr)","сука"
"260","обнажённый","лишение","ухватывать/ухватить (+a)","сукно"
"261","обобщение","производитель (m)","факел","сумрачный"
"262","образцовый","феномен","фактический","сухарь (m)"
"263","обрушиваться/обрушиться","радист","фермер","сюжет"
"264","одновременный","упрочение","физически","тайник"
"265","оживлённый","уран","флейта","танкист"
"266","окрестный","хам","формировать/с- (+a)","территориальный"
"267","опаска","хрустальный","хижина","тесниться (i)"
"268","опровержение","алкоголик","хихикать/хихикнуть","тётушка"
"269","опущенный","чреватый (+inst)","хладнокровный","титул"
"270","освободительный","география","храбрость (f)","тиф"
"271","осложнение","душевно","хрипло","токарь (m)"
"272","осмысливать/осмыслить (+a)","известь (f)","хриплый","толковый"
"273","оставшийся","конюшня","царица","торжествовать (i) (над +inst)"
"274","остроумный","крупа","частенько","трезво"
"275","отбор","лягушка","частично","триумф"
"276","отделяться/отделиться (от +g)","металлургия","червь (m)","трогательный"
"277","откликаться/откликнуться (на +a)","мыс","черноморский","трюк"
"278","отовсюду","обследовать (i/p) (+a)","чудно","тугой"
"279","отрицание","отрез","чуткий","туризм"
"280","ощутимый","перемирие","шалаш","турок"
"281","ощущаться (i)","плот","шампанское","тысячелетний"
"282","панорама","предусматриваться (i)","шахматный","тягость (f)"
"283","парламентский","принуждение","шкафчик","увесистый"
"284","парта","прирост","шоссейный","удостаивать/удостоить (+a +g)"
"285","паутина","разгадывать/разгадать (+a)","щёлка","уклоняться/уклониться (от +g)"
"286","певица","растворять/растворить (+a)","щит","укореняться/укорениться"
"287","первоначально","реактивный","экономно","укрепляться/укрепиться"
"288","перевал","рысь (f)","энергетика","универсальный"
"289","переделка","рюкзак","эстрада","униматься/уняться"
"290","перекрёсток","связист","этика","упоминаться/упомянуться"
"291","перелив","синтетический","янтарный","упорядочение"
"292","перенимать/перенять (+a)","сострадание","янтарь (m)","управа"
"293","пересадка","старт","ад","упрощённый"
"294","переспрашивать/переспросить (+a)","сушить/вы- (+a)","аккорд","упрямство"
"295","периодический","декада","активизация","усеивать/усеять (+a +inst)"
"296","пирожок","завоеватель (m)","алтарь (m)","устранение"
"297","плавно","катушка","антенна","утверждаться/утвердиться"
"298","плавучий","китаец","апельсин","утешение"
"299","плодотворный","комендатура","апостол","утюг"
"300","повествование","котлета","армейский","уха"
"301","повиноваться (i/p) (+d)","математический","ассигнование","финал"
"302","поводить/повести (+inst)","микрофон","баран","финиш"
"303","пограничный","обострение","баян","финский"
"304","подвешивать/подвесить (+a)","пират","безграмотность (f)","формация"
"305","поддержание","плавки (pl)","бездна","хилый"
"306","подлежать (i) (+d)","поваренный","бездушный","хирург"
"307","подозрительный","престарелый","беззаветно","христианство"
"308","подолгу","пурга","безмолвно","хроника"
"309","по-другому","репортёр","безнаказанно","царапать/царапнуть (+a)"
"310","подружиться (р) (с +inst)","свинство","безошибочно","целесообразный"
"311","подскакивать/подскочить","секретарша","безуспешно","целеустремлённый"
"312","подступ (к +d)","таёжный","белила (pl)","цивилизованный"
"313","подтверждаться/подтвердиться","убеждённость (f)","беречься (i)","цыган"
"314","подчас","шотландский","бесследно","челюсть (f)"
"315","поединок","шпага","бесстыдно","чередование"
"316","поинтересоваться (р) (+inst)","штабной","бизнесмен","четыреста"
"317","полированный","щепа","благополучный","чешский"
"318","политбюро","эволюция","блаженство","чистка"
"319","политически","экватор","допустимый","читательский"
"320","положительно","ягнёнок","блиндаж","чихать/чихнуть"
"321","помеха","австралийский","блюдечко","чрезмерно"
"322","понедельник","антисемитизм","богач","шататься (i)"
"323","пить/по-","боб","бодро","шаткий"
"324","порочный","булавка","бойко","шахматы (pl)"
"325","поспевать/поспеть (к +d/нa +a)","ватага","бомбить/раз- (+a)","швейный"
"326","посредство","воззвание","браслет","шевелиться/шевельнуться"
"327","посыпаться (i/p)","всемерный","брожение","шелуха"
"328","по-твоему","дебют","броня (бронь)","шершавый"
"329","потирать/потереть (+a)","естествознание","броня","шириться (i)"
"330","тревожить/по- (+a)","милосердие","бросок","шишка"
"331","поучать (i) (+a)","карусель (f)","будка","шляться (i)"
"332","щадить/по- (+a)","кондиционер","буквальный","шпора"
"333","преграда","хозрасчёт","бутерброд","штаб-квартира"
"334","предисловие","чутьё","бухгалтер","штормовой"
"335","предотвращение","накалённый","бюрократический","щедрость (f)"
"336","предшествовать (i) (+d)","новатор","бюрократия","щенок"
"337","пренебрегать/пренебречь (+inst)","оптимальный","вдребезги","электроника"
"338","прения (n pl)","остов","венец","эффектный"
"339","прибрежный","отсек","веселить/раз- (+a)","яичница"
"340","прививать/привить (+a)","прищуриваться/прищуриться","весомый","ярмарка"
"341","приз","пробег","вещица","авианосец"
"342","прикреплять/прикрепить (+a к +d)","прослезиться (р)","взаимовыгодный","автономный"
"343","примета","скула","взыскание","азарт"
"344","присваивать/присвоить (+a)","ракетный","виноградник","азбука"
"345","присматривать/присмотреть (за +inst)","резьба","винт","акула"
"346","пристальный","родовой","долгосрочный","алкоголь (m)"
"347","присутствующий","социал-демократический","вице-президент","аренда"
"348","приучать/приучить (+inf or к +d)","туалет","влево","бабочка"
"349","причёска","футболист","внушительно","багаж"
"350","причудливый","чемоданчик","вовлекать/вовлечь (+a в +a)","бак"
"351","проповедовать (i) (+a)","шовинизм","водопад","барахло"
"352","прорываться/прорваться","шоры (pl)","воедино","бдительный"
"353","прорезывать/прорезать (+a)","аванс","военщина","бедро"
"354","просвечивать (i)","атеистический","вожак","бездействовать (i)"
"355","прославлять/прославить (+a)","бабушкин","возвышенный","безответственный"
"356","простаивать/простоять","гипсовый","вол","безропотно"
"357","простыня","ересь (f)","вопиющий","беспечный"
"358","протокол","застенок","воровство","бестолковый"
"359","процедура","кефир","ворона","бинт"
"360","птичка","извещать/известить (+a)","ворчливо","блоха"
"361","пульс","калач","восемьсот","болтаться (i)"
"362","пускай","кличка","всеобъемлющий","бритва"
"363","пустырь (m)","колокольчик","вульгарный","буйный"
"364","пылать (i)","композиция","входной","быль (f)"
"365","радикальный","контур","выгружать/выгрузить (+a)","бюллетень (m)"
"366","радужный","координация","выдаваться/выдаться","вдыхать/вдохнуть (+a)"
"367","разбег","кочка","выдача","величавый"
"368","разбой","кубик","выдвигаться/выдвинуться","веха"
"369","разбойничий","кура","выжидательно","взнос"
"370","разводиться/развестись","кустарник","выжидательный","вилка"
"371","раздражённо","ледниковый","выжидать/выждать (+a)","виселица"
"372","разлетаться/разлететься","лепить/вы- (+a)","выздоравливать/выздороветь","внятно"
"373","размещаться/разместиться","лирика","выныривать/вынырнуть","водружать/водрузить (+a)"
"374","разновидность (f)","медлить (i)","высовывать/высунуть (+a)","воздерживаться/воздержаться (от +g)"
"375","разрываться/разорваться","миленький","высококачественный","вонять (i) (+inst)"
"376","разоряться/разориться","мозаика","геройский","воодушевление"
"377","разрешаться (i)","нагреваться/нагреться","глинистый","воочию"
"378","раса","обновление","глоток","ворох"
"379","раскаиваться/раскаяться (в +pr)","познавать/познать (+a)","гнуть/со- (+a)","воск"
"380","раскидывать/раскинуть (+a)","приостанавливаться/приостановиться","годный","вторгаться/вторгнуться (в +a)"
"381","расправляться/расправиться (с +inst)","расписание","голландский","выручка"
"382","расцветать/расцвести","сажа","гололёд","выступ"
"383","реализм","светило","горлышко","вышка"
"384","регулярно","сечение","горчица","вялый"
"385","регулярный","слива","грозиться/по- (+inf)","договорённость (f)"
"386","ремонтировать (i/p) (+a)","сношение","грохотать/за-","гнить/с-"
"387","ржавый","туша","гряда","гнусный"
"388","робеть/о-","упряжка","грядка","горб"
"389","розыгрыш","утопический","губительный","град"
"390","роковой","ходовой","девственный","гусеница"
"391","роскошный","чувствительность (f)","дежурить (i)","дань (f)"
"392","рослый","чудный","детвора","девать/деть (+a)"
"393","рыться/по- (в +pr)","фара","деяние","добродетель (f)"
"394","самоотверженный","шлюз","добродушно","домысел"
"395","санитарный","шов","добываться/добыться","дощатый"
"396","седина","шрам","доверительно","духи (m pl)"
"397","секретный","эмигрант","довериться (p) (+d)","душистый"
"398","секция","азот","доверчивый","евангелие"
"399","семьсот","аристократ","дождик","еврей"
"400","сессия","бес","докладчик","единогласно"
"401","склонять/склонить (+a)","беседка","доктрина","ёж"
"402","слияние","благоустройство","донесение","жанр"
"403","сложно","болотный","достоверный","жарить/за- (+a)"
"404","мешать/с- (+a)","брошка","дохнуть/по-","жемчужина"
"405","смешиваться/смешаться","варьировать (i) (+a)","дышать/дохнуть","жир"
"406","смола","ветвиться/раз-","дощечка","жуткий"
"407","смущённый","вишь","доярка","завсегдатай"
"408","собранный","водопровод","дрожь (f)","заглавие"
"409","совпадение","возбуждаться/возбудиться","дубина","загс"
"410","сомнительный","восковой","дуга","задор"
"411","сосредоточиваться/сосредоточиться (на +pr)","восторгаться (i) (+inst)","дудка","заём"
"412","спасительный","кинотеатр","дымовой","закоулок"
"413","спирт","доступ (к +d)","дырявый","залог"
"414","сплочённый","объект","дьявольски","замешательство"
"415","ставень (m)","губернатор","единодушно","замкнутый"
"416","темнеть/с-","дворянство","жалобный","заочно"
"417","стирать/стереть (+a)","дивиться/по- (+d)","живучий","запинаться/запнуться"
"418","сталкивать/столкнуть (+a)","диктатор","живьём","запчасть (f)"
"419","стон","жёлоб","житие","застёгивать/застегнуть (+a)"
"420","стоп","военно-морской","бормотать/за- (+a)","изрядный"
"421","суетиться/за-","жилка","забрасывать/забросить (+a)","захлёбываться/захлебнуться"
"422","суконный","измельчённый","завершаться/завершиться","злоупотреблять/злоупотребить (+inst)"
"423","счастливец","испарение","завещать (i/p) (+a +d)","знатный"
"424","счёты (pl)","катер","загадочно","зонтик"
"425","таракан","текстильный","глохнуть/за-","зыбкий"
"426","тахта","тюк","загонять (р) (+a)","ива"
"427","телеграфный","отвал","загробный","икра"
"428","терпеливый","истечение","зад","искажать/исказить (+a)"
"429","тесто","керосиновый","задолго","искушение"
"430","толчок","конус","зажигаться/зажечься","исподволь"
"431","топтаться (i)","крепостничество","жмуриться/за-","калека (m/f)"
"432","торговец","ледовый","заинтересованный (в +pr)","камыш"
"433","тоскливо","лепёшка","кипеть/за-","карий"
"434","тоскливый","лесник","закладка","квитанция"
"435","требовательный","максимум","заматывать/замотать (+a)","клевать/клюнуть"
"436","тренировка","машинистка","ночевать/за-","клей"
"437","треть (f)","общенародный","заокеанский","клумба"
"438","трогаться/тронуться","оригинал","запасаться/запастись","коврик"
"439","трусливый","ориентация","заподазривать/заподозрить (+a в +pr)","коготь (m)"
"440","тряпьё","осыпать (i/p) (+a +inst)","запаздывать/запоздать (с +inst)","кое-как"
"441","тряхнуть (p)","пёрышко","запрет","коренастый"
"442","тсс","пеший","запрягать/запрячь (+a)","косой"
"443","тумба","питерский","запутываться/запутаться","красноречие"
"444","тучка","победоносный","заросший","крушение"
"445","угнетать (i) (+a)","карать/по- (+a)","засаживаться/засесть","кувыркаться/кувыркнуться"
"446","удочка","полковой","застенчивый","кумир"
"447","укоризненно","приписка","затаивать/затаить (+a)","кутёж"
"448","уместно","промеж (+g or +inst)","затруднять/затруднить (+a)","лазейка"
"449","умысел","резец","затяжка","лак"
"450","унижать/унизить (+a)","репродукция","заулыбаться (р)","ласточка"
"451","уничтожаться/уничтожиться","рисоваться (i)","заурядный","лезвие"
"452","управляемый","рукоятка","зеленеть/по-","лестный"
"453","управляться (i)","серп","констатировать (i/p)","ликовать (i)"
"454","усиленно","сирень (f)","знаменитость (f)","лицемерие"
"455","усиленный","собачонка","зной","льстить/по- (+d)"
"456","ухитряться/ухитриться (+inf)","соприкосновение","зрелый","мазать (i) (+a)"
"457","уют","сплав","зреть/со-","маяк"
"458","уютно","срез","импортный","мерзость (f)"
"459","уяснять/уяснить (+a)","сток","идиллия","мести (i) (+a)"
"460","фальшивый","струйка","идол","мизинец"
"461","фарфор","сыр","избивать/избить (+a)","миска"
