"","Followers","Type","Category","Month","Weekday","Hour","Paid","UniqueViews","UniqueClicks","UniqueViewsFollowers","UniqueClicksFollowers","comment","like","share"
"180",135195,"Photo",2,9,4,10,0,3582,537,2124,404,4,154,36
"181",134879,"Status",2,9,4,4,1,9124,1476,7092,1331,20,150,29
"182",134879,"Photo",1,9,3,10,0,14152,631,6632,404,4,102,8
"183",134879,"Photo",3,9,3,2,1,4260,588,2432,436,1,226,44
"184",134879,"Video",1,9,2,10,0,30624,2080,15744,1376,6,345,121
"185",134879,"Photo",2,9,2,3,0,2363,393,1788,297,11,68,11
"186",134879,"Photo",1,9,1,10,0,2232,374,1740,278,0,62,10
"187",134879,"Photo",2,9,1,6,0,4048,544,2280,368,5,223,35
"188",134879,"Photo",2,9,7,10,0,1804,330,1354,234,0,61,6
"189",134879,"Photo",3,9,7,4,1,2351,371,1791,288,1,104,12
"190",133679,"Photo",2,9,2,10,0,3100,518,2274,367,3,146,15
"191",133679,"Photo",3,9,2,3,1,2360,436,1603,300,2,102,15
"192",133679,"Photo",3,8,1,10,0,19648,1359,13528,1020,9,766,43
"193",133679,"Photo",2,8,1,4,0,2295,377,1882,269,0,63,7
"194",133594,"Photo",2,8,7,10,1,3934,512,3082,384,3,113,17
"195",133594,"Photo",1,8,7,3,0,34512,1666,22816,1278,6,442,42
"196",133594,"Photo",2,8,6,10,0,5282,703,3244,470,9,278,43
"197",133594,"Photo",1,8,6,8,0,1809,399,1435,289,2,64,7
"198",133594,"Photo",2,8,5,13,0,1920,365,1519,251,1,52,7
"199",133451,"Photo",1,8,4,9,1,1954,356,1772,252,0,30,2
"200",132817,"Photo",3,8,4,10,0,33536,1954,24448,1564,33,1155,102
"201",132817,"Photo",2,8,4,3,1,4204,498,2974,387,2,139,25
"202",132817,"Photo",1,8,3,9,0,3376,428,2806,331,0,40,5
"203",132817,"Status",2,8,3,2,1,9236,1151,7880,1075,2,53,15
"204",132817,"Photo",3,8,2,10,0,72864,946,30912,646,4,220,19
"205",132817,"Photo",3,8,2,3,0,3358,394,2426,298,2,114,16
"206",132201,"Photo",1,8,1,12,1,3254,371,2846,283,0,39,3
"207",132201,"Photo",1,8,1,3,0,50640,2240,34880,1790,4,859,68
"208",132201,"Photo",2,8,7,10,0,3734,529,2868,389,5,137,20
"209",132201,"Photo",3,8,7,3,0,2594,347,2067,248,1,54,11
"210",132201,"Photo",2,8,6,10,1,2232,376,1306,257,2,74,22
"211",132201,"Photo",3,8,6,3,1,22120,979,17528,796,6,98,3
"212",132201,"Photo",3,8,5,10,0,7980,630,5372,467,2,264,21
"213",132201,"Photo",2,8,5,1,0,1659,345,915,239,3,36,11
"214",132201,"Photo",3,8,4,11,1,1006,277,651,187,1,11,3
"215",132201,"Photo",3,8,4,3,1,12728,844,8844,657,4,435,31
"216",131956,"Photo",1,8,3,10,0,28880,1062,15808,740,2,114,10
"217",131956,"Photo",2,8,3,4,0,1330,363,827,230,2,17,9
"218",131956,"Status",2,8,2,12,0,14424,304,14056,291,41,15,1
"219",131956,"Photo",1,8,2,7,0,14200,1393,13376,1233,3,87,10
"220",131956,"Photo",3,8,1,12,0,5746,769,4288,584,16,227,28
"221",131956,"Photo",2,8,1,4,0,2540,389,2063,279,2,86,8
"222",131956,"Photo",3,8,7,10,0,4324,548,3008,401,6,179,27
"223",131808,"Status",2,8,7,4,0,8260,997,7360,956,1,74,11
"224",131808,"Status",2,8,6,10,1,20168,3370,15056,2806,18,332,54
"225",131808,"Photo",1,8,6,6,0,5046,528,4184,421,2,80,21
"226",131808,"Status",2,7,5,14,0,15296,2827,13296,2602,9,95,17
"227",131728,"Photo",3,7,5,8,1,3414,473,2390,360,3,188,26
"228",131728,"Photo",1,7,4,10,1,95424,699,22016,417,6,109,11
"229",131728,"Photo",2,7,4,3,0,14824,868,8560,650,64,367,25
"230",131630,"Photo",2,7,3,13,0,3504,444,2730,348,9,102,19
"231",131630,"Photo",3,7,2,23,0,2822,424,2020,327,2,113,20
"232",131630,"Photo",3,7,2,13,0,2973,356,2208,266,0,94,20
"233",131630,"Status",2,7,2,6,1,10824,135,10384,126,6,14,1
"234",131630,"Photo",1,7,1,11,0,4592,320,2100,222,1,43,10
"235",131630,"Photo",2,7,1,5,0,3176,372,2426,279,1,98,21
"236",131300,"Status",2,7,7,10,0,10956,128,10564,123,3,13,1
"237",131300,"Photo",3,7,7,4,0,10888,913,8048,722,12,237,45
"238",131300,"Photo",2,7,6,10,0,3594,424,2468,309,4,112,23
"239",131300,"Photo",1,7,6,2,0,3384,451,2508,344,2,101,25
"240",130791,"Photo",2,7,5,11,1,4096,487,2826,355,10,145,31
"241",130791,"Photo",3,7,5,3,0,19968,1016,14792,757,6,535,83
"242",130791,"Photo",1,7,4,11,0,4892,536,4206,428,4,118,22
"243",130791,"Status",2,7,4,6,0,17360,2573,11800,1905,9,484,79
"244",130791,"Video",1,7,3,11,1,21872,3872,12920,2218,18,315,76
"245",130791,"Photo",2,7,3,5,1,180480,8072,51456,3316,372,5172,790
"246",130791,"Photo",1,7,2,13,0,44464,1052,14080,559,4,154,30
"247",130791,"Photo",2,7,2,8,0,2881,550,2040,323,0,73,15
"248",129600,"Photo",2,7,1,12,0,3460,541,2260,314,0,96,19
"249",129600,"Photo",3,7,1,6,0,3406,571,2598,355,1,98,19
"250",129600,"Photo",2,7,7,11,1,2602,479,1946,287,1,53,14
"251",129600,"Photo",1,7,7,6,1,5848,622,4212,383,4,71,10
"252",129600,"Photo",1,7,6,11,0,26944,877,10208,563,6,194,34
"253",129600,"Photo",3,7,6,5,0,5292,756,3404,516,6,226,42
"254",129600,"Status",2,7,5,12,1,15576,2417,10840,1839,11,238,51
"255",129600,"Photo",3,7,5,3,0,54256,1620,24224,977,10,755,58
"256",129600,"Photo",2,7,4,12,1,3726,602,2852,399,30,47,8
"257",129600,"Photo",1,7,4,6,1,31904,863,12992,583,2,126,32
"258",129600,"Photo",1,7,3,13,1,40336,1407,14848,907,4,104,10
"259",129600,"Photo",2,7,3,1,0,4220,685,2326,407,10,167,26
"260",129600,"Photo",3,7,2,13,0,4666,729,2818,459,9,152,41
"261",129600,"Photo",2,7,2,7,1,4274,701,3164,460,0,128,15
"262",129600,"Photo",1,7,1,13,0,28208,964,11120,636,13,234,43
"263",128032,"Photo",2,7,1,3,0,3330,513,2196,307,2,61,16
"264",128032,"Photo",2,7,7,11,1,3528,550,2660,360,0,66,9
"265",128032,"Photo",3,7,7,3,0,38576,1355,12624,827,7,529,60
"266",128032,"Photo",3,7,6,13,1,2628,528,1846,328,3,42,10
"267",128032,"Photo",1,7,6,3,0,7232,758,4712,471,2,75,24
"268",128032,"Status",2,7,5,10,0,10188,1473,8536,1395,13,61,13
"269",128032,"Photo",1,7,5,3,0,6408,909,4040,490,26,162,7
"270",128032,"Photo",1,7,4,9,1,3414,515,2704,340,2,47,4
"271",128032,"Photo",2,7,4,5,1,53056,2003,17104,975,6,696,28
"272",128032,"Photo",1,7,3,10,1,66976,1191,19968,708,7,215,47
"273",127082,"Photo",1,7,3,3,1,76096,2889,19744,1276,22,534,31
"274",126424,"Photo",3,7,4,12,0,5458,1007,3204,537,1,143,27
"275",126424,"Photo",2,7,4,3,0,3706,895,2726,493,18,46,7
"276",126424,"Status",2,7,3,13,0,18320,3742,14920,3300,36,98,14
"277",126424,"Photo",3,7,3,4,1,2316,722,1529,372,0,25,5
"278",126424,"Video",1,6,2,13,0,139008,1779,38720,1008,23,204,44
"279",126345,"Photo",1,6,2,9,1,5854,1043,2894,583,11,202,5
"280",126345,"Photo",1,6,2,3,0,109056,2552,25024,1353,7,148,39
"281",126345,"Photo",2,6,1,12,0,3212,735,2162,375,1,40,8
"282",126345,"Photo",2,6,1,4,0,3046,909,2126,477,1,71,17
"283",126345,"Status",2,6,7,11,0,12044,2240,10400,2119,0,104,13
"284",126141,"Photo",1,6,7,4,1,9652,1400,8972,1035,1,34,4
"285",126141,"Photo",1,6,6,12,0,28112,1631,23440,1225,11,129,12
"286",126141,"Status",2,6,6,4,0,8628,870,6796,774,4,72,18
"287",126141,"Photo",1,6,5,11,1,2431,389,2301,342,0,15,3
"288",126141,"Photo",1,6,4,22,1,20560,936,3856,460,14,102,9
"289",126141,"Photo",1,6,4,12,0,20896,1418,13656,998,103,469,33
"290",125612,"Photo",1,6,4,11,0,2402,170,1794,137,5,57,5
"291",125612,"Photo",1,6,4,7,0,1729,596,1406,340,0,23,2
"292",125612,"Photo",2,6,4,3,0,4320,753,2782,459,5,141,26
"293",125612,"Photo",1,6,3,11,0,2585,569,2144,348,0,19,5
"294",125612,"Photo",2,6,3,3,0,3322,610,2236,375,1,71,23
"295",125612,"Photo",1,6,2,13,0,3600,691,2110,436,0,72,21
"296",125612,"Photo",1,6,2,2,0,11620,1160,10568,920,5,54,7
"297",125612,"Photo",3,6,1,14,0,4248,724,3114,501,5,93,19
"298",125612,"Photo",3,6,1,3,0,2763,564,2124,375,0,62,10
"299",125612,"Photo",2,6,7,11,0,3558,621,2392,403,0,78,16
"300",124940,"Photo",1,6,7,4,0,8324,840,7736,662,0,14,1
"301",124940,"Photo",2,6,6,9,0,6952,909,4292,646,11,231,43
"302",124940,"Photo",3,6,6,2,1,2823,552,1966,348,1,72,16
"303",124940,"Photo",1,6,5,13,1,63840,1382,16480,760,9,197,28
"304",124940,"Photo",3,6,5,3,1,11608,985,5840,594,4,330,29
"305",124940,"Photo",1,6,4,12,0,58304,884,1408,340,0,148,7
"306",124940,"Photo",3,6,4,2,0,4762,842,3494,569,2,208,28
"307",124940,"Photo",2,6,3,13,0,6150,750,3742,445,12,148,28
"308",124940,"Photo",3,6,3,3,1,4644,768,3144,506,4,154,26
"309",124940,"Photo",3,6,2,13,0,22464,1029,6864,546,3,142,18
"310",124940,"Photo",3,6,2,3,0,3754,791,2590,482,8,107,20
"311",124940,"Photo",1,6,1,13,0,4452,666,3768,397,0,22,3
"312",124940,"Photo",3,6,1,3,0,3576,664,2672,403,2,84,13
"313",124940,"Photo",3,6,7,10,0,3028,579,2184,349,2,59,12
"314",124940,"Photo",3,6,7,3,1,4022,647,3312,423,3,65,14
"315",124940,"Photo",1,6,6,12,1,52736,1635,10144,876,0,24,4
"316",124940,"Photo",3,6,6,4,0,47376,1557,13344,697,9,186,23
"317",123047,"Photo",3,6,5,12,0,3234,756,2174,347,0,58,17
"318",123047,"Photo",2,6,5,3,0,3322,702,1968,328,2,74,14
"319",123047,"Photo",3,6,4,13,0,6768,768,4012,408,2,180,44
"320",123047,"Photo",2,6,4,5,1,11304,1141,7800,732,18,168,49
"321",123047,"Photo",1,6,3,11,0,13544,759,4120,408,0,36,5
"322",123047,"Photo",3,6,2,13,0,3418,581,2620,327,2,51,6
"323",123047,"Photo",3,6,2,5,1,3662,560,2660,319,2,67,14
"324",123047,"Photo",3,6,1,10,0,56672,2579,37408,1831,20,1372,47
"325",123047,"Photo",3,6,1,3,1,3294,526,2710,305,2,57,6
"326",121540,"Photo",3,6,1,3,0,3110,732,2540,342,2,33,10
"327",121540,"Photo",2,5,7,14,0,3806,722,2772,361,1,79,17
"328",120050,"Photo",3,5,5,9,1,3776,577,2614,371,3,97,22
"329",120050,"Photo",3,5,4,12,0,39040,1684,19712,1101,16,617,58
"330",120050,"Photo",3,5,4,4,1,4032,684,2644,432,7,139,34
"331",120050,"Photo",3,5,3,12,0,21248,1049,6664,536,20,199,32
"332",119198,"Photo",3,5,3,5,0,4344,692,2528,367,1,107,26
"333",119198,"Photo",3,5,2,12,0,2718,566,1992,306,0,50,10
"334",119198,"Photo",3,5,2,1,0,3024,596,2098,341,0,64,20
"335",119198,"Status",2,5,1,2,0,10152,1636,8980,1613,2,55,10
"336",119198,"Photo",2,5,7,2,0,4708,678,2690,390,1,142,37
"337",119198,"Photo",3,5,6,14,0,2772,526,1943,305,2,72,9
"338",119198,"Photo",3,5,6,6,0,2812,536,1853,323,4,79,16
"339",119198,"Photo",3,5,5,10,1,6460,823,3612,505,25,244,44
"340",117764,"Photo",1,5,4,10,0,18056,1062,14728,701,25,307,58
"341",117764,"Photo",3,5,4,4,0,5016,679,3322,488,6,212,36
"342",117764,"Photo",3,5,3,11,0,3528,470,2352,322,2,95,17
"343",117764,"Photo",2,5,2,11,0,6444,734,4136,512,5,194,33
"344",117764,"Photo",3,5,1,13,1,4458,491,3106,340,6,101,29
"345",117764,"Link",1,5,1,2,0,12540,344,11008,289,3,46,14
"346",117764,"Photo",3,5,7,13,1,4362,604,3216,469,3,156,20
"347",117764,"Photo",3,5,7,2,0,38960,2298,34368,1978,37,821,90
"348",117764,"Photo",3,5,6,13,0,3144,392,2148,271,1,58,13
"349",117764,"Photo",3,5,6,8,1,4336,574,2752,403,12,155,23
"350",117764,"Photo",3,5,5,13,0,81856,3000,27392,1756,45,1639,122
"351",116435,"Photo",2,5,5,9,0,5728,676,3714,475,3,155,32
"352",116435,"Photo",3,5,4,13,1,5490,647,3716,476,4,166,33
"353",116435,"Status",1,5,4,3,1,23832,1701,21352,1578,6,210,39
"354",116435,"Photo",3,5,3,7,0,18552,1005,10584,676,4,400,25
"355",116435,"Photo",2,5,2,14,0,4132,552,2754,398,2,98,18
"356",116435,"Photo",1,5,2,8,0,4910,625,2812,411,12,138,38
"357",116435,"Photo",3,5,1,13,0,4202,562,3298,428,3,148,16
"358",116091,"Photo",2,5,1,3,0,5976,689,4046,487,2,267,40
"359",116091,"Photo",2,5,7,14,0,5206,565,3708,414,1,144,29
"360",116091,"Photo",3,5,7,2,0,6984,780,4776,570,25,256,54
"361",116091,"Photo",1,5,6,9,0,6000,577,4454,429,3,72,24
"362",116091,"Photo",3,5,6,3,0,3332,463,2330,341,0,87,18
"363",116091,"Status",2,5,5,7,0,9232,908,7200,843,1,129,36
"364",115893,"Photo",3,4,4,15,1,5212,736,3608,597,1,179,30
"365",115893,"Photo",1,4,3,13,0,24264,1599,21928,1392,9,194,33
"366",115368,"Photo",3,4,3,8,0,4280,624,2530,497,1,124,32
"367",115368,"Photo",3,4,2,13,0,6692,905,4692,737,4,304,47
"368",115368,"Photo",3,4,2,2,1,5594,739,3256,555,12,138,39
"369",115368,"Photo",1,4,1,2,0,11336,583,10160,484,4,41,9
"370",113028,"Photo",2,4,7,3,1,5582,708,3422,557,2,163,35
"371",113028,"Photo",1,4,6,14,0,28352,1476,24512,1185,45,407,76
"372",113028,"Status",2,4,6,3,1,17912,2750,11408,2256,17,447,123
"373",113028,"Link",1,4,5,7,1,35360,339,5472,156,7,38,11
"374",113028,"Photo",1,4,5,5,0,9084,962,7024,758,2,93,26
"375",113028,"Photo",1,4,4,12,1,6880,671,5232,556,0,59,16
"376",111620,"Photo",3,4,4,7,1,12824,830,10968,705,0,286,30
