"","artname","count","genre","nchar"
"4678","Chozen_Few",1,"",10
"4679","Chris & Aurore",1,"",14
"4680","Chris Bergson",1,"blues, sxsw+2009, all, spotify, country",13
"4681","Chris Bissonnette",1,"ambient, drone, electronic, experimental, kranky",17
"4682","Chris Botti (Ft. The Blue Nile)",1,"",31
"4683","Chris Brown Feat. Ransom (A-Team)",1,"",33
"4684","Chris Brown Feat. T-Pain Vs. Timbaland",1,"",38
"4685","Chris Brown Ft Juelz Santana",1,"rnb, hip-hop, chris+brown, rap, hip+hop",28
"4686","Chris Brown Ft. Keri Hilson",1,"rnb, hip-hop, chris+brown, rap, hip+hop",27
"4687","Chris Brown/Juelz Santana",1,"rnb, hip-hop, chris+brown, rap, hip+hop",25
"4688","Chris Carter | Tom Braidwood + Dean Haglund + Bruce Harwood (Lone Gunmen), Stephen Snedden (Jimmy), Zuleikha Robinson (Yves).",1,"",125
"4689","Chris Coco & Sascha Puttnam Feat. Cathy Batistessa",1,"electronica, beautiful, fabulous, like+other+song",50
"4690","Chris & Cosey And Coil",1,"",22
"4691","Chris Domingo (Feat. Isabell)",1,"",29
"4692","Chris Dorman",1,"folk, acoustic, americana, vermont, cjl+original+library",12
"4693","Chrisette Michele F. Rick Ross & Juelz Santana",1,"",46
"4694","Chris Farley",1,"",12
"4695","Chris Feilberg",1,"minimal, all, spotify",14
"4696","Chris Glover",1,"",12
"4697","Chris Harvey (Preview: Buy It At Www.Magnatune.Com)",1,"",51
"4698","Chris Hülsbeck",1,"video+game+music, electronic, c64, soundtrack, amiga",14
"4699","Chris Ingham",1,"piano, instrumental, badfinger, contemporary+classical+piano",12
"4700","Chris Lake & Emma Hewitt",1,"",24
"4701","Chris Lake (Feat. Nastala)",1,"",26
"4702","Chris Lake Featuring Laura V.",1,"dance, female+vocalists, house, dance+favorites",29
"4703","Chris Lake - Only One",1,"dance, electro, ministry+of+sound",21
"4704","Chris Le Blanc Feat. Miss Luna",1,"drjazzmrfunkmusic",30
"4705","Chris Le Blanc Ft. Liz June",1,"lounge, chillout, downtempo, easy+listening",27
"4706","Chris Letcher",1,"indie, indie+pop, south+africa, 77davez-all-tracks, singer-songwriter",13
"4707","Chris Marx (Feat Wojtek)",1,"",24
"4708","Chris Miller",1,"americana",12
"4709","Chris Mills & Deanna Varagona",1,"",29
"4710","Chris Mills With Dean Schlabowske & Dave Alvin",1,"",46
"4711","Chris & Mollie",2,"indie+pop, twee, lo-fi, indie, pop",14
"4712","Chris Neale",1,"",11
"4713","Chrispa",1,"greek, world, all, chrispa, preselection",7
"4714","Chrispa-Very Smoke",1,"",18
"4715","Chris Perren",1,"berzevore, chillout, trip-hop, geil",12
"4716","Chrispini Yanuka, Kikosi Cha Ngoma Za Taifa",1,"",43
"4717","Chris Rasch",1,"",11
"4718","Chris Reece & Dinka",1,"progressive+house, house, progressive, progressive+electro+house, chillout",19
"4719","Chris Robley",1,"folk+rock, rock, portland, alternative, northwest",12
"4720","Chris Special & Adam S",1,"",22
"4721","Christa Ludwig/René Kollo/Berliner Philharmoniker - Herbert Von Karajan",1,"",71
"4722","Christa Ludwig/René Kollo/Israel Philharmonic - Leonard Bernstein",1,"",65
"4723","Christer",1,"",8
"4724","Christer Berg",1,"",13
"4725","Christer & Joachim",1,"",18
"4726","Christer Sandelin Feat. Dea",1,"",27
"4727","Christer Sandelin & Marcus Ubeda",1,"",32
"4728","Christer Sjögren",5,"swedish, dansband, dansbandskungen, scandinavian, svensk+taggradio",16
"4729","Chris ""The Glove"" Taylor And Ice T",2,"",34
"4730","Chris The Other Girls",1,"",21
"4731","Christian Borle, Greek Chorus & Laura Bell Bundy",1,"",48
"4732","Christian Borle & Laura Bell Bundy",1,"musical, duet, legally+blonde, aspirational",34
"4733","Christian Borle, Laura Bell Bundy & Orfeh",1,"",41
"4734","Christian Borle, Manual Herrera, Natalie Joy Johnson & Noah Weisberg",1,"",68
"4735","Christian Catholic Artists",1,"",26
"4736","Christiane F.",1,"new+wave, ndw, electronic, german, experimental",13
"4737","Christian Falk Feat. Robyn - Dream On (Wez Clarke Remix)",1,"pop",56
"4738","Christian Habekost & Chako Music Show",1,"",37
"4739","Christian Hildebrandt",1,"postmodernismus, contemporary+classical, danish, neo+classical, romantic",21
"4740","Christian Litta",1,"",15
"4741","Christian Litta Vs. Galeazzi",1,"",28
"4742","Christian Meyer",2,"",15
"4743","Chris Till",1,"",10
"4744","Christina Aguilera, Lil' Kim, Mýa & P!Nk",9,"soundtrack, pop, cover, moulin+rouge, american",40
"4745","Christina Aguilera, Mya, Pink, Lil Kim",1,"pop, female+vocalists, soul, rnb, christina+aguilera",38
"4746","Christina Aguilera, Mya, Pink, Lil Kim & Missy Elliott",1,"",54
"4747","Christina Aguilera/Pink/Lil Kim/Mya",1,"",35
"4748","Christina Aguilera, P!Ink, Maia, Lil'Kim",1,"",40
"4749","Christina Aguilera & Redman Vs. Beastie Boys",1,"",44
"4750","Christina Aguilera Vs Robert Palmer",1,"",35
"4751","Christina Milian Feat. Young Jezzy",1,"rnb, pop, female+vocalists, hip-hop, dance",34
"4752","Christina Milian M/ Young Jeezy",1,"",31
"4753","Christina Millian Feat Young Jeezy",1,"rnb, pop, female+vocalists, hip-hop, dance",34
"4754","Christina Stürmer",2,"german, pop, deutsch, rock, female+vocalists",17
"4755","Christina Y Los Subterráneos",4,"rock, pop, rock+en+espanol, female+vocalists, spanish",28
"4756","Christine Tobin; Clark Tracey",1,"",29
"4757","Christmas - Andy Williiams",1,"",26
"4758","Christmas Scoot",1,"",15
"4759","Chris Tomlin, Martin Smith, Kirk Franklin And Watoto Children'S Choir",1,"",69
"4760","Chris Tomlin, Paul Baloche And Steven Curtis Chapman",1,"",52
"4761","Christopher Fitzgerald, Ensemble",1,"broadway, wicked, musicals, musical",32
"4762","Christopher Gutierrez",1,"",21
"4763","Christopher Hoodwood; The Academy Of Ancient Music",1,"",50
"4764","Christopher Howell",1,"",18
"4765","Christopher Kale Jones",1,"",22
"4766","Christopher Larkin; Manhattan School Of Music Opera Theatre",1,"",59
"4767","Christopher Page; Gothic Voices",1,"medieval, early+music",31
"4768","Christopher Page: Gothic Voices",1,"classical, medieval, early+music, grand+chant",31
"4769","Christoph Eschenbach / Philadelphia Orchestra",1,"",45
"4770","Christoph Marquardt",2,"",19
"4771","Christoph Prégardien, Guy De Mey, Etc.; Ton Koopman: Amsterdam Baroque Orchestra, Nederlandse Bachvereniging",1,"classical",108
"4772","Chrome Kids",1,"dubstep, hulk+hop, acid+crunk, glitch+hop, dubtronica",11
"4773","Chrono Trigger",2,"video+game+music, soundtrack, video+game, rpg+sleep",14
"4774","Chubby Baby",2,"",11
"4775","Chubby Baby M/ Hell Rell & Jr Writer",1,"",36
"4776","Chubby Baby M/ Jr Writer",1,"",24
"4777","Chucho Valdés",1,"jazz, piano, latin, latin+jazz, cuba",13
"4778","Chuck Barris And Milton De Lugg",1,"",31
"4779","Chuck Berry/Jerome Patrick Hoban",1,"rock+and+roll, classic+rock, rock+n+roll, blues, 50s",32
"4780","Chuck Billy, Jake E. Lee, Jimmy Bain, Aynsley Dunbar",1,"",52
"4781","Chuck Chillout Presents The C-Ya Entertainment All-Stars",1,"",56
"4782","Chucky Danger",1,"indie+rock, indie, favoriter, animals, chucky+danger",13
"4783","Chukki Starr Feat. Junior Kelly",1,"",31
"4784","Chung-Ae Ahn (Korea)",1,"film",20
"4785","Chung Sister (Korea)",1,"",20
"4786","Church Of Violence",1,"punk, hardcore, punk+rock, italian",18
"4787","Chus & Ceballlos Feat. Derek Conyer",1,"",35
"4788","Chuy Reyes & His Hollywood Mocambo Orchestra",1,"",44
"4789","Chwong",1,"",6
"4790","Chylińska",3,"rock, hard+rock, polish, female+vocalists, polish+rock",9
"4791","Ciara Feat Chamillionaire",1,"rnb, hip+hop, american, hip-hop",25
"4792","Ciara Feat. Chamillionaire",1,"rnb, hip+hop, american, hip-hop",26
"4793","Ciara Feat. Justin Timberlake",1,"rnb, pop, hip-hop, female+vocalists, dance",29
"4794","Ciara Feat. Ludacris",1,"rnb, pop, hip-hop, female+vocalists, dance",20
"4795","Ciara (Feat. Missy Elliot)",1,"ciara",26
"4796","Ciara Feat Missy Elliott",1,"rnb, pop, hip-hop, female+vocalists, dance",24
"4797","Ciara Feat. Missy Elliott",3,"hip+hop, hip-hop, fierce, cant+get+enough+of+this+shit, chillout",25
"4798","Ciara Feat. R. Kelly",1,"",20
"4799","Ciara Feat T.I. And Jazze Pha",1,"",29
"4800","Ciara Featuring T.I. & Jazze Pha",1,"rnb, pop, hip-hop, female+vocalists, dance",32
"4801","Ciara Ft. 50 Cent",1,"rnb, pop, hip-hop, female+vocalists, dance",17
"4802","Ciara Ft. Chamillionaire",1,"rnb, hip+hop, american, hip-hop",24
"4803","Ciara Ft. Justin Timberlake",2,"rnb, pop, hip-hop, female+vocalists, dance",27
"4804","Ciara Haidar",1,"british",12
"4805","Ciara, Ludacris",2,"rnb, hip-hop, crunk+n+b, ho+ciara",15
"4806","Ciaran Hinds, Simon Callow,",1,"",27
"4807","Ciara Vs. Alicia Keys",1,"",21
"4808","Ciarra Feat. Ludacris",1,"rnb, hip-hop, crunk+n+b, ho+ciara",21
"4809","Ciccone Youth (Mixed By Cut Copy)",1,"",33
"4810","Cichlids",1,"",8
"4811","Ciclone",1,"",7
"4812","Cidadão Instigado",1,"brazilian, alternative, brasil, alternative+rock, rock",17
"4813","Cidesphere",3,"death+metal, melodic+death+metal, technical+death+metal, turkish, turkey",10
"4814","Cidflux",1,"",7
"4815","Cięcie!!!",1,"",9
"4816","Ciëlo",1,"electropop, peru, minimal+synth, synthpop, electronic",5
"4817","Ciel (Rie Tanaka)",1,"",17
"4818","Ciemna Strona Pomidora",1,"punk, punk+rock, polish, female+vocalists, polish+punk",22
"4819","Çìéóêïõìðñéá",1,"",12
"4820","Cigaretta",1,"bulgarian, alternative, gloomy, alternative+rock, under+2000+listeners",9
"4821","Çilekeş",4,"turkish+rock, alternative+rock, turkish, rock, hard+rock",7
"4822","Cillian Murphy",2,"soundtrack, irish, actors, ireland, favorite+voices",14
"4823","Cillian Murphy/Gavin Friday",1,"",27
"4824","Cincinnati'S University Singers",1,"",31
"4825","Cinecast@Cinecastshow.Com",2,"",25
"4826","Cinecast@Gmail.Com",1,"",18
"4827","Cinemacomrapadura",1,"",17
"4828","Cinema Paradiso",1,"instrumental, soundtrack",15
"4829","Cine Muerte",1,"",11
"4830","Cinérex",1,"trip-hop, chillout, downtempo, belgium, female+vocalists",7
"4831","Ciocarlia",1,"balkan, gypsy, folk, brass, world",9
"4832","Circumnavigate",1,"acoustic, pop, norway, all, norwegian",14
"4833","Circus Closet",1,"indie, georgian+music, georgian+alternative+music",13
"4834","Circus Hell",1,"",11
"4835","Circus Mind",1,"all, chill+out",11
"4836","Cirez D Vs. Axwell",1,"house, tech+house, techno, electronic, electro",18
"4837","Cironta",1,"",7
"4838","Cism 89,3 - La Marge",1,"",20
"4839","Čistychov",1,"hip-hop, slovak, slovak+hip-hop, slovakia, bratislava",9
"4840","Ciszak, Juchniewicz, Klimek",1,"",27
"4841","C.I.T.A.- H&H",1,"",13
"4842","Cities & Landscapes",1,"",19
"4843","Citrus Reticula",1,"",15
"4844","City Centre",1,"",11
"4845","City Hunter 2",1,"",13
"4846","City Hunter 3",1,"",13
"4847","City Of Shaft Presents Sevens",1,"",29
"4848","City Riots",1,"indie+rock, indie, sxsw+2010, australian, alternative",10
"4849","City Slickas",1,"",12
"4850","Ciudad De Pobres Corazones",1,"",26
"4851","Civils Radio",1,"",12
"4852","Civil War",1,"power+metal, heavy+metal, swedish, war+metal, metal",9
"4853","Cj Grogan",1,"",9
"4854","C.J. Mozart",1,"",11
"4855","C-Knight",1,"west",8
"4856","Ck Two",1,"minimal, techno, ohne+worte, essbar, minimal+techno",6
"4857","Clã",1,"portuguese, pop+rock, portugal, portuguese+music, pop",3
"4858","Claire Hux",1,"pop, rap, dance, hip-hop, hip+hop",10
"4859","Clammbon By Nujabes",1,"hip-hop, jazzy, underground+hip-hop, nujabes, female+vocalists",19
"4860","Clancy Eccles",4,"reggae, ska, rocksteady, skinhead+reggae, trojan",13
"4861","Clancy Eccles With Hersang & The City Slickers",1,"lenas+kapellen, 50er+kapellen, malsonebenbei, fliegenmitseb",46
"4862","Clandestine Feat. Ned Sublette",1,"",30
"4863","Clann Zú",8,"post-rock, experimental, progressive+rock, indie, alternative",8
"4864","Clapton, Santana, & Hendrix",1,"80s, classic+rock, blues, rock, duets",27
"4865","Clara Hill, Georg Levin, Jazzanova & Nicola Kramer",1,"",50
"4866","Clara'S Star",1,"",12
"4867","Clarence Foster & The Internal Revenue",1,"",38
"4868","Clarence ""Tom"" Ashley",1,"folk, country, americana, public+domain, 1928",21
"4869","Clarky Cat",3,"new+rave, electronic, indie, british, electro",10
"4870","Clase 406",1,"latin, pop, soundtrack, mix, latin+pop",9
"4871","Classic 70'S Porn",1,"",17
"4872","Classic 70'S Porn Music -",1,"",25
"4873","Classical- Jim Brickman",1,"piano, new+age, instrumental, jim+brickman, christmas",23
"4874","[Classical Music]",1,"",17
"4875","Classic Cult/Chrono Trigger/Crystal Castles",1,"",43
"4876","Classic Fm At The Movies",1,"",24
"4877","Classickidstv.Co.Uk",1,"kids, theme, website, cartoon+theme",19
"4878","Classic Rock",2,"rock, top, classic+rock, danny+dean+and+the+homewreckers, danny+dean",12
"4879","Classic Rock Series",1,"",19
"4880","Clatter Clatter",1,"rock, alternative, indie, indie+rock, boston",15
"4881","Claude Bareau And His Orchestra Feat. Bonnie Bailey",1,"test",51
"4882","Claude Challe & Ravin",4,"secretagent, ambient, top+rated+tracks, varietist+alive+and+actionable, chillout",21
"4883","Claude François",1,"french, chanson+francaise, disco, pop, chanson",15
"4884","Claude Michel",1,"",13
"4885","Claude-Michel Schönberg",4,"musical, soundtrack, musicals, broadway, french",23
"4886","Claude Vonstroke + Alex Gaudino Feat Crystal Waters",1,"",51
"4887","Claudio Abbado, Chamber Orchestra Of Europe, Arnold Schoenberg Chor, Holl, Matt",1,"",79
"4888","Claudio Bisio E Rocco Tanica",1,"italian, humor, demenziale, cabaret, electronic",28
"4889","Claudio Bisio / Rocco Tanica",1,"",28
"4890","Claudio Coccoluto & Joe T. Vannelli",1,"",35
"4891","Claudio Cordero",1,"guitar+virtuoso, fusion, instrumental, rock, jazz+fusion",15
"4892","Claw Like Things",1,"",16
"4893","Cle",1,"minimal, tech, deep+house, electronic, minimal+techno",3
"4894","Cleanray",1,"",8
"4895","Clear View Featuring Jessica",1,"trance, vocal+trance, progressive+trance, electronic, progressive+house",28
"4896","Cleeren",1,"",7
"4897","Clémentine",3,"french, bossa+nova, female+vocalists, jazz, lounge",10
"4898","Clément Philibert Léo Delibes",1,"classical",29
"4899","Clemits",1,"sxsw+2009",7
"4900","Clemson Tigeroar",1,"a+cappella, collegiate, college+a+cappella",16
"4901","Clemson University Takenote",1,"",27
"4902","Clen Cambel & Ben Findon",1,"",24
"4903","Cléo",1,"ye-ye, french, 60s, pop, french+pop",4
"4904","Çĺěôčđŕ",1,"russian",7
"4905","Clevel. Orch. (Maazel)",1,"",22
"4906","Click*Bleep*Beep",1,"8-bit, chiptune, breakcore, russian, all",16
"4907","Clickonhosting.Com",1,"",18
"4908","Client & Carl Barat",1,"",19
"4909","Cliff Barnes & The Fear Of Winning",1,"",34
"4910","Cliff Brown Jr",1,"invasion, cliff+brown+jr, nozomi, f+for+fake, sxsw+2008",14
"4911","Cliff De Young And Jessica Harper",1,"",33
"4912","Cliff De Young & Jessica Harper",1,"",31
"4913","Cliff De Young/Jessica Harper/Patricia Quinn",1,"",44
"4914","Cliff De Young/Jessica Harper/Ruby Wax",1,"",38
"4915","Cliff De Young, Jessica Harper, Ruby Wax & Ensemble",1,"",51
"4916","Cliff De Young/Patricia Quinn",1,"",29
"4917","Cliff De Young/Patricia Quinn/Jessica Harper",1,"",44
"4918","Cliff De Young/Patricia Quinn/Nell Campbell",1,"",43
"4919","Cliff De Young, Rik Mayall, Nell Campbell & Ensemble",1,"",52
"4920","Clifftop",1,"",8
"4921","Clifftops",1,"",9
"4922","Cliffy And Jerry",1,"",16
"4923","Cliff Young",1,"",11
"4924","Climb",2,"hardcore, metalcore, aor, metal, hard+rock",5
"4925","Climb Aboard The Friendship",1,"indie, canadian, folk, acoustic, indie+pop",27
"4926","Clinger",1,"alternative+metal, music",7
"4927","Clint Eastwood; Lee Van Cleef; Gian Maria Volontè; Josef Egger; Mara Krup",1,"",73
"4928","Clint Lowery/Sevendust",1,"",22
"4929","Clint Mansell (Performed By Kronos Quartet And Mogwai)",1,"soundtrack, instrumental, ambient, electronic, classical",54
"4930","Clipse And Pharrell Williams",1,"",28
"4931","Clipse/Coldchain, Roscoe P.",1,"",27
"4932","Clipse Feat. Pharrell & Ab-Liva",1,"hip-hop, neptunes",31
"4933","Clipse Ft Birdman",1,"hip-hop, rap, dirty+south, hip+hop, cash+money",17
"4934","Clipse Ft Slim Thug",1,"hip-hop, rap, hip+hop, virginia, neptunes",19
"4935","Clipse M/ Ab-Liva, Roscoe P. Coldchain & Pharrell Williams",1,"",58
"4936","Clipse M/ Fabolous",1,"",18
"4937","Clipse M/ Faith Evans",1,"",21
"4938","Clipse M/ Jadakiss, Styles P & Roscoe P. Coldchain",1,"",50
"4939","Clipse M/ N.O.R.E, Baby & Lil' Wayne",1,"",36
"4940","Clipse M/ Pharrell Williams",1,"",27
"4941","Clipse M/ Sean Paul, Bless & Kardinal Official",1,"",46
"4942","Clipse/Pharrell Williams",1,"hip-hop, rap, hip+hop, virginia, neptunes",24
"4943","Clipse/Re-Up Gang",1,"hip-hop, rap, hip+hop, virginia, neptunes",17
"4944","Clipse/Slim Thug",1,"hip-hop, rap, hip+hop, virginia, neptunes",16
"4945","Clipz Mr275805@Www.Htfr.Com",1,"",27
"4946","Cliquey Bastids (Lulabelle)",1,"",27
"4947","Clive 'Azul' Hunt",1,"dub, reggae, under+2000+listeners",17
"4948","Clivillés & Cole",1,"house, 1991, 90s, english, 1992",16
"4949","Clockers Soundtrack",1,"",19
"4950","Clona",1,"",5
"4951","Clorofila Azul",1,"ambient, electronic, electronica, idm, metro+downtempo",14
"4952","Clothes Make The Man",1,"",20
"4953","Clothes Off!",1,"",12
"4954","Clothilde - La Ballade Du Bossu",1,"",31
"4955","Clotilde Hesme, Louis Garrel & Ludivine Sagnier",1,"soundtrack",47
"4956","Cloud 10",1,"",8
"4957","Cloud Cuckoo Land / 쿠라우드 쿠쿠랜드",1,"",29
"4958","Cloud Cult - The Ghost Inside Our House",1,"",39
"4959","Cloud Kickers Feat. Marcus",1,"",26
"4960","Cloxnc",1,"",6
"4961","Club84",3,"italo+disco, electronic, disco, dance, french+house",6
"4962","Club Anthems",1,"",12
"4963","Club Hits Mix'S 1998-2003",1,"",25
"4964","Clubland 1 (Dj Rankin)",1,"",22
"4965","Club Nme Presents Dancefloor Distortion",1,"",39
"4966","Club Piratez",1,"trance, club",12
"4967","Club Social Buenavista",1,"",22
"4968","Clyde Carson Ft Sean Kingston",1,"reggae, hiphop, rap, hip+hop, hip-hop",29
"4969","C-Major",1,"gangsta+rap, texas, houston+rap",7
"4970","Cmj",1,"",3
"4971","Cmj 2005",2,"",8
"4972","C'Mon Y'All",1,"",11
"4973","C&M Productions Feat. Marcel",1,"house",28
"4974","C-Murder, Master P, Ugk",1,"hip-hop, rap, southern+rap, gangsta+rap, dirty+south",23
"4975","Cmx/Kotiteollisuus Feat. 51Koodia",1,"",33
"4976","Cmx,Kotiteollisuus Ja 51 Koodia",1,"",31
"4977","Cnet.Com",1,"molly+wood, podcast, brian+tong, jason+howell, tom+merritt",8
"4978","Cnet News.Com",1,"",13
"4979","Cnhttp.Com",1,"",10
"4980","Cn-Ii",1,"",5
"4981","Cnn Ft. Pharell",1,"",15
"4982","C-N-N M/ M.O.P.",1,"",15
"4983","C & N Project",1,"",13
"4984","Co$$",1,"hip-hop, underground+hip-hop, rap, los+angeles, hip+hop",4
"4985","Coalface",1,"",8
"4986","Cobra Gang",1,"",10
"4987","Cobra Red",1,"",9
"4988","Cobra Starship Feat. Travis Mccoy Of Gym Class Heroes",1,"",53
"4989","Cobra Starship, The Academy Is, & The Sounds",1,"rock",44
"4990","Cobra Starship With The Academy Is, Gym Class Heroes & The Sounds",2,"the+sounds, amazing+good+great, gym+class+heros, cobra+starship",65
"4991","Cockeyed Caucasian Cockfight",1,"",28
"4992","Cocktail K",1,"",10
"4993","Cocoa Brovaz Feat. Raekwon",1,"",26
"4994","Coco B'S",1,"indie, home+collection, alternative, table+for+three, indie+pop",8
"4995","Coco Freeman Feat. Franz Ferdinand",1,"latin+jazz, british, cuban, dance, green",34
"4996","Coco Puttnam Feat. Cathy Battistessa",1,"electronic, chill, favori, remind",36
"4997","Coco Schell",1,"private+stashshsh, tinone, french, chill, female+vocalists",11
"4998","Cocosuma & Jen H Ka",1,"",19
"4999","Cocteau Twins And Faye Wong",2,"",27
"5000","Cocteau Twins-Dead Can Dance",1,"dream+pop, shoegaze, ethereal, post-punk, alternative",28
"5001","Cocteau Twins Feat. Dead Can Dance",1,"dream+pop, shoegaze, ethereal, post-punk, alternative",34
"5002","Cocteau Twins - Liz Fraser Vs Lisa Gerrard",1,"",42
"5003","Cocteau Twins, With Sinead O'Connor",1,"",35
"5004","Code Geass Lelouch Of The Rebellion O.S.T.",1,"",42
"5005","Code Geass Lelouch Of The Rebellion O.S.T. 2",1,"",44
"5006","Code Geass Lelouch Of The Rebellion R2 O.S.T. 1",1,"",47
"5007","Code Geass Lelouch Of The Rebellion R2 O.S.T. 2",1,"",47
"5008","Code:In",1,"",7
"5009","Code Industy - Structure 1991. Cd.",1,"",34
"5010","Codylcran",1,"",9
"5011","Cœur De Pirate",5,"french, indie, female+vocalists, canadian, pop",14
"5012","Coffee Core Cru",1,"hardcore+techno, hardcore, gabber, coffee+core+cru",15
"5013","Coffeecore [Drokz]",1,"",18
"5014","Coffee Prince Ost",1,"coffee+prince, k-drama+ost, korean, crazy+beautiful, chillout",17
"5015","Coffee Princess Shop No.1 Ost",1,"korean, korean+drama+ost, drama+ost, soundtrack",29
"5016","Cogasm (Featuring Robert Smith)",1,"alternative",31
"5017","Cogumelo Plutão",1,"pop+rock, post-punk, rock+nacional, valkyeriex+power, rock+brazuca",15
"5018","Cohen",1,"post-hardcore, rock, punk, hardcore, instrumental+hip-hop",5
"5019","Coholic",1,"rock, scottish, male+vocalists, west+lothian, alternative",7
"5020","Coh Vs Richard Chartier",1,"glitch, noise, experimental, microsound, micronoise",23
"5021","Co.In.",1,"industrial+metal, industrial, polish, nu+metal, metalcore",6
"5022","Co.In. (+Maciek, Pigment)",1,"",25
"5023","Coinz",1,"",5
"5024","Coinz M/ S.A.S",1,"",14
"5025","Coke Dj-Culture",1,"",15
"5026","Cokernut Pigeon",1,"",15
"5027","Cold Cobayne",1,"",12
"5028","Coldcut Feat Jim Spencer And Mike Ladd",1,"",38
"5029","Coldcut Feat. Robert Miles",1,"",26
"5030","Coldcut Feat. Robert Owens",1,"electronic, house, electronic+pop, soulful+house",26
"5031","Coldcut Featuring Roots Manuva",1,"",30
"5032","Coldcut, Steinski",1,"",17
"5033","Cold_Elf",1,"new+age, indie, instrumental, experimental, usa",8
"5034","Cold (From Iceland)",5,"ambient, im+morgengrauen+alleine+u-bahn+fahren, chillout, electronic, percussion",19
"5035","Cold Legistics",1,"instrumental+hip-hop, hip-hop, instrumental, hip+hop, underground+hip-hop",14
"5036","Cold (Metal)",2,"alternative+rock, rock, hard+rock, alternative, post-grunge",12
"5037","Coldplay Feat. Michael Stipe",3,"indie, britpop, british, covers, greys+anatomy",28
"5038","Coldplay Ft Richard Ashcroft",1,"british+music, indie, uk, english, british",28
"5039","Coldplay Vs Moby",1,"mashup",16
"5040","Coldplay Vs. Opus 3",1,"",19
"5041","Coldplay Vs Radiohead",1,"armand",21
"5042","Coldplay Vs. Simple Mind",1,"",24
"5043","Cold Rat",1,"",8
"5044","Cold Rat Feat. Stiff Ninja",1,"",26
"5045","Cold Shot",1,"hard+rock, united+states, melodic+rock",9
"5046","Coldway",1,"rap, hip-hop, rnb",7
"5047","Cole Deggs & The Lonesome",1,"alt-country, country, alternative+country",25
"5048","Cole Porter Songbook",1,"",20
"5049","Cólera",1,"punk, punk+rock, brazilian+punk, hardcore, hardcore+punk",6
"5050","Coleta",1,"",6
"5051","Colgate Swingin' 'Gates",1,"",23
"5052","Colin Munroe & Joel Ortiz",1,"fuckin+great+song, songs+to+drink+st+pauli+girl+to",25
"5053","Colin Newman & Corrado Izzo",1,"",27
"5054","Col. Knowledge & The Lickity-Splits",1,"",35
"5055","Collection D'Arnell~Andréa",2,"darkwave, neoclassical, ethereal, gothic, french",26
"5056","Collection Sono",1,"",15
"5057","College Feat. Anoraak",1,"electronic, music+to+blow+minds, synth+pop",21
"5058","College (Featuring Anoraak)",1,"",27
"5059","College Featuring Electric Youth",1,"electronic, house, progressive+house, disco, pop",32
"5060","Collides In Arc",1,"rock, england, chinese, united+kingdom, under+1000+listeners",15
"5061","Colliding Traits",1,"",16
"5062","Collie Buddz Burro Choppa",1,"",25
"5063","Colligere",1,"hardcore, melodic+hardcore, brazilian, post-hardcore, screamo",9
"5064","Collin Raye And The Jordanaires",1,"",31
"5065","Colobos",1,"alt-country, alternative, acoustic, post+core, post+amoeba",7
"5066","Coloco Masita La Pota",2,"elektronic+beats",21
"5067","Colonel Abrams Vs. Madonna",1,"",26
"5068","Colonel Bagshot",1,"psychedelic, trip-hop, folk, psychedelic+folk, 70s",15
"5069","Colonel Fx",1,"47startingartists47, homeys+slip+cube+shindy, genius, warp, aphex+twin",10
"5070","Colonels",1,"",8
"5071","Colonna Sonora",1,"",14
"5072","Color Radio",1,"alternative, brit+pop, ambient, avant-garde, progressive",11
"5073","Coloss Da 8Th Wonder",1,"",20
"5074","Coltemönikha",1,"electronic, japanese, j-pop, shibuya-kei, ultrafresh",12
"5075","Colton Ford & Pepper Mashay",1,"dance",27
"5076","Columbia Kingsmen",1,"",17
"5077","Columbine",1,"industrial, experimental, powernoise, electro-industrial, industrial+metal",9
"5078","Comando Blindado",1,"rac, skinhead, oi, hatecore, white+power",16
"5079","Comando Nuclear",1,"heavy+metal, brazilian, brazilian+metal, brazilian+heavy+metal, thrash+metal",15
"5080","Comanova",1,"",8
"5081","Comanova  -+Apipe+-",1,"",19
"5082","Combat",1,"nsbm, black+metal, thrash+metal, speed+metal, psytrance",6
"5083","Combat 84 - The Last Resort - Death Or Glory",1,"oi",44
"5084","Combine The Victorious",2,"canadian, vancouver, indie, electronic, instrumental",22
"5085","Comebacks",1,"",9
"5086","Comebuckley",1,"psychedelic, acoustic, singer-songwriter, alternative, alternative+rock",11
"5087","Comédia",1,"",7
"5088","Comédie Macabre",1,"gothic+metal, symphonic+black+metal, black+metal, gothic+black+metal, extreme+gothic+metal",15
"5089","Comedy",2,"comedy, charts, live+band",6
"5090","Comedy Central",1,"podcast, comedy, podcasts, society, news",14
"5091","Comedy Central Presents",1,"podcast, comedy, podcasts, society, news",23
"5092","Comedy Central Stand-Up",1,"",23
"5093","(+) Comfort",1,"referenz+lounge+district, covers, lounge+cafe",11
"5094","Comisarioaborigen",1,"",17
"5095","Commando-Z",2,"chiptune, 8bit, swedish, electronic, synthpop",10
"5096","Commercial Song",1,"",15
"5097","Commie Robots",1,"",13
"5098","Commix Ft. Steve Specek",1,"",23
"5099","Commodore Stulle",1,"",16
"5100","Common Feat. Bilal & John Legend",2,"hip-hop, rap, hip+hop, soul, common",32
"5101","Common Feat Chester French",1,"",26
"5102","Common Feat. Chester French",1,"rap, hip+hop",27
